g,i,year,xwater,xland,p,y,omegalabor,omegasupply,omegaland,Etc
GARDENA FARMS DISTRICT NO. 13,Seed,2022,2.44,3572,7000,0.37,305,549,383,1.9686
GARDENA FARMS DISTRICT NO. 13,Vegetable,2022,2.27,729,900,15.44,6466,4636,383,2.9529
GARDENA FARMS DISTRICT NO. 13,Cereal Grain,2023,2.52,2268,255.3,2.26,89,229,294,2.081091
GARDENA FARMS DISTRICT NO. 13,Hay/Silage,2023,2.07,1190,258,5.11,152,330,294,3.83877
GARDENA FARMS DISTRICT NO. 13,Oilseed,2023,2.48,110,470,0.82,953,762,294,1.9686
GARDENA FARMS DISTRICT NO. 13,Orchard,2023,2.33,7,4010,18.67,2159,4064,294,2.65761
GARDENA FARMS DISTRICT NO. 13,Seed,2023,2.3,3572,6200,0.39,318,572,294,1.9686
GARDENA FARMS DISTRICT NO. 13,Vegetable,2023,2.33,729,860,16.63,6731,4826,294,2.9529
GARDENA FARMS DISTRICT NO. 13,Cereal Grain,2024,1.8,2128,277.5,3.6,92,236,407,2.081091
GARDENA FARMS DISTRICT NO. 13,Hay/Silage,2024,2.86,1113,275,5,157,341,407,3.83877
GARDENA FARMS DISTRICT NO. 13,Orchard,2024,1.5,7,4781,21.5,2227,4192,407,2.65761
GARDENA FARMS DISTRICT NO. 13,Seed,2024,2.28,4440,5800,0.39,328,590,407,1.9686
GARDENA FARMS DISTRICT NO. 13,Vegetable,2024,2.82,78,1180,11.2,6943,4978,407,2.9529
GREEN TANK IRRIGATION DISTRICT NO. 11,Hay/Silage,2024,2.35,19,275,5,157,341,407,3.83877
HUDSON BAY IRRIGATION DISTRICT NO.,Hay/Silage,2015,1.73,129,174,5.42,120,260,222,3.83877
HUDSON BAY IRRIGATION DISTRICT NO.,Vegetable,2015,2.45,20,255,26.89,5300,3800,222,2.9529
HUDSON BAY IRRIGATION DISTRICT NO.,Hay/Silage,2016,2.17,129,142,5.43,253,455,231,3.83877
HUDSON BAY IRRIGATION DISTRICT NO.,Vegetable,2016,2.09,20,255,16.19,5353,3838,231,2.9529
HUDSON BAY IRRIGATION DISTRICT NO.,Hay/Silage,2017,1.69,149,172,5.69,124,268,240,3.83877
HUDSON BAY IRRIGATION DISTRICT NO.,Cereal Grain,2018,2.34,29,172.67,3.05,74,189,250,2.081091
HUDSON BAY IRRIGATION DISTRICT NO.,Hay/Silage,2018,2.21,67,186,4.76,126,273,250,3.83877
HUDSON BAY IRRIGATION DISTRICT NO.,Seed,2018,1.96,48,4200,0.4,263,473,250,1.9686
HUDSON BAY IRRIGATION DISTRICT NO.,Cereal Grain,2019,2.66,29,180.44,2.84,75,193,260,2.081091
HUDSON BAY IRRIGATION DISTRICT NO.,Hay/Silage,2019,1.61,67,193,4.65,128,278,260,3.83877
HUDSON BAY IRRIGATION DISTRICT NO.,Seed,2019,2.34,48,8800,0.38,268,482,260,1.9686
HUDSON BAY IRRIGATION DISTRICT NO.,Cereal Grain,2020,2.81,29,193.63,3.13,76,194,270,2.081091
HUDSON BAY IRRIGATION DISTRICT NO.,Hay/Silage,2020,2.38,67,191,4.81,130,281,270,3.83877
HUDSON BAY IRRIGATION DISTRICT NO.,Seed,2020,2.24,48,5000,0.36,270,486,270,1.9686
HUDSON BAY IRRIGATION DISTRICT NO.,Cereal Grain,2021,2.72,79,275.03,1.86,79,203,281,2.081091
HUDSON BAY IRRIGATION DISTRICT NO.,Hay/Silage,2021,2,66,232,4.68,136,294,281,3.83877
HUDSON BAY IRRIGATION DISTRICT NO.,Cereal Grain,2022,2.36,79,263.93,2.77,85,220,383,2.081091
HUDSON BAY IRRIGATION DISTRICT NO.,Hay/Silage,2022,2.06,66,320,5.3,146,317,383,3.83877
HUDSON BAY IRRIGATION DISTRICT NO.,Cereal Grain,2023,2.05,79,255.3,2.26,89,229,294,2.081091
HUDSON BAY IRRIGATION DISTRICT NO.,Hay/Silage,2023,1.82,66,258,5.11,152,330,294,3.83877
HUDSON BAY IRRIGATION DISTRICT NO.,Cereal Grain,2024,2.68,97,277.5,3.6,92,236,407,2.081091
HUDSON BAY IRRIGATION DISTRICT NO.,Hay/Silage,2024,2.66,32,275,5,157,341,407,3.83877
HUDSON BAY IRRIGATION DISTRICT NO.,Seed,2024,1.78,7,5800,0.39,328,590,407,1.9686
HYDRO-IRRIGATION DISTRICT NO. 9,Hay/Silage,2015,1.64,28,174,5.42,120,260,222,3.83877
HYDRO-IRRIGATION DISTRICT NO. 9,Vegetable,2015,1.71,15,255,26.89,5300,3800,222,2.9529
HYDRO-IRRIGATION DISTRICT NO. 9,Hay/Silage,2016,1.54,28,142,5.43,253,455,231,3.83877
HYDRO-IRRIGATION DISTRICT NO. 9,Vegetable,2016,1.83,15,255,16.19,5353,3838,231,2.9529
HYDRO-IRRIGATION DISTRICT NO. 9,Hay/Silage,2017,1.91,28,172,5.69,124,268,240,3.83877
HYDRO-IRRIGATION DISTRICT NO. 9,Vegetable,2017,1.52,15,240,15.47,5459,3914,240,2.9529
HYDRO-IRRIGATION DISTRICT NO. 9,Hay/Silage,2018,1.76,25,186,4.76,126,273,250,3.83877
HYDRO-IRRIGATION DISTRICT NO. 9,Vegetable,2018,1.94,11,760,16.31,5565,3990,250,2.9529
HYDRO-IRRIGATION DISTRICT NO. 9,Hay/Silage,2019,1.94,3,193,4.65,128,278,260,3.83877
HYDRO-IRRIGATION DISTRICT NO. 9,Vegetable,2019,1.5,7,780,16.6,5671,4066,260,2.9529
HYDRO-IRRIGATION DISTRICT NO. 9,Hay/Silage,2020,1.94,25,191,4.81,130,281,270,3.83877
HYDRO-IRRIGATION DISTRICT NO. 9,Vegetable,2020,1.62,11,780,16.52,5724,4104,270,2.9529
HYDRO-IRRIGATION DISTRICT NO. 9,Hay/Silage,2021,1.73,7,232,4.68,136,294,281,3.83877
HYDRO-IRRIGATION DISTRICT NO. 9,Vegetable,2021,1.6,15,856,15.25,5989,4294,281,2.9529
HYDRO-IRRIGATION DISTRICT NO. 9,Hay/Silage,2022,1.73,7,320,5.3,146,317,383,3.83877
HYDRO-IRRIGATION DISTRICT NO. 9,Vegetable,2022,1.18,15,900,15.44,6466,4636,383,2.9529
HYDRO-IRRIGATION DISTRICT NO. 9,Hay/Silage,2023,1.42,7,258,5.11,152,330,294,3.83877
HYDRO-IRRIGATION DISTRICT NO. 9,Vegetable,2023,1.87,15,860,16.63,6731,4826,294,2.9529
HYDRO-IRRIGATION DISTRICT NO. 9,Hay/Silage,2024,1.82,5,275,5,157,341,407,3.83877
HYDRO-IRRIGATION DISTRICT NO. 9,Vegetable,2024,2.26,15,1180,11.2,6943,4978,407,2.9529
LOWDEN IRRIGATION DISTRICT NO. 2,Cereal Grain,2015,2.86,207,160,2.21,70,180,222,2.081091
LOWDEN IRRIGATION DISTRICT NO. 2,Hay/Silage,2015,2.97,46,174,5.42,120,260,222,3.83877
LOWDEN IRRIGATION DISTRICT NO. 2,Seed,2015,2.53,427,3600,0.35,250,450,222,1.9686
LOWDEN IRRIGATION DISTRICT NO. 2,Vegetable,2015,2.26,48,255,26.89,5300,3800,222,2.9529
LOWDEN IRRIGATION DISTRICT NO. 2,Cereal Grain,2016,2.72,207,146,3.1,71,182,231,2.081091
LOWDEN IRRIGATION DISTRICT NO. 2,Hay/Silage,2016,2.92,46,142,5.43,253,455,231,3.83877
LOWDEN IRRIGATION DISTRICT NO. 2,Seed,2016,2.66,427,3800,0.38,253,455,231,1.9686
LOWDEN IRRIGATION DISTRICT NO. 2,Vegetable,2016,2.08,48,255,16.19,5353,3838,231,2.9529
LOWDEN IRRIGATION DISTRICT NO. 2,Cereal Grain,2017,2.42,207,148,2.86,72,185,240,2.081091
LOWDEN IRRIGATION DISTRICT NO. 2,Hay/Silage,2017,2.58,46,172,5.69,124,268,240,3.83877
LOWDEN IRRIGATION DISTRICT NO. 2,Seed,2017,2.42,427,4000,0.39,258,464,240,1.9686
LOWDEN IRRIGATION DISTRICT NO. 2,Vegetable,2017,2.39,48,240,15.47,5459,3914,240,2.9529
LOWDEN IRRIGATION DISTRICT NO. 2,Cereal Grain,2018,2.49,280,172.67,3.05,74,189,250,2.081091
LOWDEN IRRIGATION DISTRICT NO. 2,Hay/Silage,2018,2.76,51,186,4.76,126,273,250,3.83877
LOWDEN IRRIGATION DISTRICT NO. 2,Seed,2018,2.27,322,4200,0.4,263,473,250,1.9686
LOWDEN IRRIGATION DISTRICT NO. 2,Cereal Grain,2019,2.38,280,180.44,2.84,75,193,260,2.081091
LOWDEN IRRIGATION DISTRICT NO. 2,Hay/Silage,2019,2.56,51,193,4.65,128,278,260,3.83877
LOWDEN IRRIGATION DISTRICT NO. 2,Seed,2019,2.44,322,4400,0.38,268,482,260,1.9686
LOWDEN IRRIGATION DISTRICT NO. 2,Cereal Grain,2020,2.26,280,193.63,3.13,76,194,270,2.081091
LOWDEN IRRIGATION DISTRICT NO. 2,Hay/Silage,2020,2.75,51,191,4.81,130,281,270,3.83877
LOWDEN IRRIGATION DISTRICT NO. 2,Seed,2020,2.24,322,5000,0.36,270,486,270,1.9686
LOWDEN IRRIGATION DISTRICT NO. 2,Cereal Grain,2021,2.8,325,275.03,1.86,79,203,281,2.081091
LOWDEN IRRIGATION DISTRICT NO. 2,Hay/Silage,2021,2.93,29,232,4.68,136,294,281,3.83877
LOWDEN IRRIGATION DISTRICT NO. 2,Seed,2021,2.05,318,6000,0.35,283,509,281,1.9686
LOWDEN IRRIGATION DISTRICT NO. 2,Cereal Grain,2022,2.36,325,263.93,2.77,85,220,383,2.081091
LOWDEN IRRIGATION DISTRICT NO. 2,Hay/Silage,2022,2.57,29,320,5.3,146,317,383,3.83877
LOWDEN IRRIGATION DISTRICT NO. 2,Seed,2022,2.09,318,7000,0.37,305,549,383,1.9686
LOWDEN IRRIGATION DISTRICT NO. 2,Cereal Grain,2023,2.48,325,255.3,2.26,89,229,294,2.081091
LOWDEN IRRIGATION DISTRICT NO. 2,Hay/Silage,2023,2.63,29,258,5.11,152,330,294,3.83877
LOWDEN IRRIGATION DISTRICT NO. 2,Seed,2023,2.22,318,6200,0.39,318,572,294,1.9686
LOWDEN IRRIGATION DISTRICT NO. 2,Cereal Grain,2024,2.7,209,277.5,3.6,92,236,407,2.081091
LOWDEN IRRIGATION DISTRICT NO. 2,Hay/Silage,2024,2.94,27,275,5,157,341,407,3.83877
LOWDEN IRRIGATION DISTRICT NO. 2,Seed,2024,2.49,438,5800,0.39,328,590,407,1.9686
MUD CREEK IRRIGATION DISTRICT NO. 7,Cereal Grain,2015,3.04,30,160,2.21,70,180,222,2.081091
MUD CREEK IRRIGATION DISTRICT NO. 7,Seed,2015,2.39,21,3600,0.35,250,450,222,1.9686
MUD CREEK IRRIGATION DISTRICT NO. 7,Cereal Grain,2016,2.93,30,146,3.1,71,182,231,2.081091
MUD CREEK IRRIGATION DISTRICT NO. 7,Seed,2016,2.16,21,3800,0.38,253,455,231,1.9686
MUD CREEK IRRIGATION DISTRICT NO. 7,Cereal Grain,2017,2.59,30,148,2.86,72,185,240,2.081091
MUD CREEK IRRIGATION DISTRICT NO. 7,Seed,2017,2.93,21,4000,0.39,258,464,240,1.9686
MUD CREEK IRRIGATION DISTRICT NO. 7,Cereal Grain,2018,2.76,13,172.67,3.05,74,189,250,2.081091
MUD CREEK IRRIGATION DISTRICT NO. 7,Seed,2018,2.79,38,4200,0.4,263,473,250,1.9686
MUD CREEK IRRIGATION DISTRICT NO. 7,Cereal Grain,2019,2.54,13,180.44,2.84,75,193,260,2.081091
MUD CREEK IRRIGATION DISTRICT NO. 7,Seed,2019,2.8,38,4400,0.38,268,482,260,1.9686
MUD CREEK IRRIGATION DISTRICT NO. 7,Cereal Grain,2020,2.81,13,193.63,3.13,76,194,270,2.081091
MUD CREEK IRRIGATION DISTRICT NO. 7,Seed,2020,2.56,38,5000,0.36,270,486,270,1.9686
MUD CREEK IRRIGATION DISTRICT NO. 7,Cereal Grain,2021,3,40,275.03,1.86,79,203,281,2.081091
MUD CREEK IRRIGATION DISTRICT NO. 7,Seed,2021,3.01,3,6000,0.35,283,509,281,1.9686
MUD CREEK IRRIGATION DISTRICT NO. 7,Vegetable,2021,2.47,6,856,15.25,5989,4294,281,2.9529
MUD CREEK IRRIGATION DISTRICT NO. 7,Cereal Grain,2022,2.61,40,263.93,2.77,85,220,383,2.081091
MUD CREEK IRRIGATION DISTRICT NO. 7,Seed,2022,2.68,3,7000,0.37,305,549,383,1.9686
MUD CREEK IRRIGATION DISTRICT NO. 7,Vegetable,2022,2.42,6,900,15.44,6466,4636,383,2.9529
MUD CREEK IRRIGATION DISTRICT NO. 7,Cereal Grain,2023,2.67,40,255.3,2.26,89,229,294,2.081091
MUD CREEK IRRIGATION DISTRICT NO. 7,Seed,2023,2.65,3,6200,0.39,318,572,294,1.9686
MUD CREEK IRRIGATION DISTRICT NO. 7,Vegetable,2023,2.48,6,860,16.63,6731,4826,294,2.9529
MUD CREEK IRRIGATION DISTRICT NO. 7,Cereal Grain,2024,2.86,30,277.5,3.6,92,236,407,2.081091
MUD CREEK IRRIGATION DISTRICT NO. 7,Hay/Silage,2024,3.02,11,275,5,157,341,407,3.83877
MUD CREEK IRRIGATION DISTRICT NO. 7,Seed,2024,1.9,8,5800,0.39,328,590,407,1.9686
ORCHARD IRRIGATION DISTRICT NO. 10,Hay/Silage,2015,1.93,2,174,5.42,120,260,222,3.83877
ORCHARD IRRIGATION DISTRICT NO. 10,Hay/Silage,2016,1.99,2,142,5.43,253,455,231,3.83877
ORCHARD IRRIGATION DISTRICT NO. 10,Hay/Silage,2017,1.8,2,172,5.69,124,268,240,3.83877
ORCHARD IRRIGATION DISTRICT NO. 10,Hay/Silage,2018,1.83,2,186,4.76,126,273,250,3.83877
ORCHARD IRRIGATION DISTRICT NO. 10,Vegetable,2018,1.98,1,760,16.31,5565,3990,250,2.9529
ORCHARD IRRIGATION DISTRICT NO. 10,Hay/Silage,2020,2,2,191,4.81,130,281,270,3.83877
ORCHARD IRRIGATION DISTRICT NO. 10,Vegetable,2020,1.89,1,780,16.52,5724,4104,270,2.9529
TOUCHET IRRIGATION DISTRICT NO. 16,Cereal Grain,2015,2.07,929,160,2.21,70,180,222,2.081091
TOUCHET IRRIGATION DISTRICT NO. 16,Hay/Silage,2015,2.07,788,174,5.42,120,260,222,3.83877
TOUCHET IRRIGATION DISTRICT NO. 16,Orchard,2015,2.56,1,1269,16.16,1700,3200,222,2.65761
TOUCHET IRRIGATION DISTRICT NO. 16,Seed,2015,1.92,1206,3600,0.35,250,450,222,1.9686
TOUCHET IRRIGATION DISTRICT NO. 16,Vegetable,2015,2.3,109,255,26.89,5300,3800,222,2.9529
TOUCHET IRRIGATION DISTRICT NO. 16,Cereal Grain,2016,1.59,935,146,3.1,71,182,231,2.081091
TOUCHET IRRIGATION DISTRICT NO. 16,Hay/Silage,2016,1.91,780,142,5.43,253,455,231,3.83877
TOUCHET IRRIGATION DISTRICT NO. 16,Orchard,2016,2.22,1,1364,18.6,1717,3232,231,2.65761
TOUCHET IRRIGATION DISTRICT NO. 16,Seed,2016,1.79,1206,3800,0.38,253,455,231,1.9686
TOUCHET IRRIGATION DISTRICT NO. 16,Vegetable,2016,2.16,109,255,16.19,5353,3838,231,2.9529
TOUCHET IRRIGATION DISTRICT NO. 16,Cereal Grain,2017,1.21,1133,148,2.86,72,185,240,2.081091
TOUCHET IRRIGATION DISTRICT NO. 16,Hay/Silage,2017,1.79,875,172,5.69,124,268,240,3.83877
TOUCHET IRRIGATION DISTRICT NO. 16,Oilseed,2017,2.18,23,350,0.07,773,618,240,1.9686
TOUCHET IRRIGATION DISTRICT NO. 16,Orchard,2017,1.95,1,1205,19.01,1751,3296,240,2.65761
TOUCHET IRRIGATION DISTRICT NO. 16,Seed,2017,2.1,1079,4000,0.39,258,464,240,1.9686
TOUCHET IRRIGATION DISTRICT NO. 16,Cereal Grain,2018,1.87,1049,172.67,3.05,74,189,250,2.081091
TOUCHET IRRIGATION DISTRICT NO. 16,Hay/Silage,2018,1.59,884,186,4.76,126,273,250,3.83877
TOUCHET IRRIGATION DISTRICT NO. 16,Oilseed,2018,2.41,206,340,0.9,788,630,250,1.9686
TOUCHET IRRIGATION DISTRICT NO. 16,Orchard,2018,2.36,1,1194,17.27,1785,3360,250,2.65761
TOUCHET IRRIGATION DISTRICT NO. 16,Seed,2018,1.72,876,4200,0.4,263,473,250,1.9686
TOUCHET IRRIGATION DISTRICT NO. 16,Vegetable,2018,1.99,37,760,16.31,5565,3990,250,2.9529
TOUCHET IRRIGATION DISTRICT NO. 16,Cereal Grain,2019,2.36,1506,180.44,2.84,75,193,260,2.081091
TOUCHET IRRIGATION DISTRICT NO. 16,Hay/Silage,2019,2.2,640,193,4.65,128,278,260,3.83877
TOUCHET IRRIGATION DISTRICT NO. 16,Seed,2019,1.93,697,4400,0.38,268,482,260,1.9686
TOUCHET IRRIGATION DISTRICT NO. 16,Cereal Grain,2020,2.36,1507,193.63,3.13,76,194,270,2.081091
TOUCHET IRRIGATION DISTRICT NO. 16,Hay/Silage,2020,2,721,191,4.81,130,281,270,3.83877
TOUCHET IRRIGATION DISTRICT NO. 16,Seed,2020,2.28,697,5000,0.36,270,486,270,1.9686
TOUCHET IRRIGATION DISTRICT NO. 16,Vegetable,2020,2.09,1,780,16.52,5724,4104,270,2.9529
TOUCHET IRRIGATION DISTRICT NO. 16,Cereal Grain,2021,2.41,664,275.03,1.86,79,203,281,2.081091
TOUCHET IRRIGATION DISTRICT NO. 16,Hay/Silage,2021,2.24,999,232,4.68,136,294,281,3.83877
TOUCHET IRRIGATION DISTRICT NO. 16,Seed,2021,2.24,498,6000,0.35,283,509,281,1.9686
TOUCHET IRRIGATION DISTRICT NO. 16,Vegetable,2021,2.06,121,856,15.25,5989,4294,281,2.9529
TOUCHET IRRIGATION DISTRICT NO. 16,Cereal Grain,2022,2.38,664,263.93,2.77,85,220,383,2.081091
TOUCHET IRRIGATION DISTRICT NO. 16,Hay/Silage,2022,2.4,999,320,5.3,146,317,383,3.83877
TOUCHET IRRIGATION DISTRICT NO. 16,Seed,2022,2.21,498,7000,0.37,305,549,383,1.9686
TOUCHET IRRIGATION DISTRICT NO. 16,Vegetable,2022,2.02,121,900,15.44,6466,4636,383,2.9529
TOUCHET IRRIGATION DISTRICT NO. 16,Cereal Grain,2023,1.71,573,255.3,2.26,89,229,294,2.081091
TOUCHET IRRIGATION DISTRICT NO. 16,Hay/Silage,2023,2.48,895,258,5.11,152,330,294,3.83877
TOUCHET IRRIGATION DISTRICT NO. 16,Oilseed,2023,2.16,56,470,0.82,953,762,294,1.9686
TOUCHET IRRIGATION DISTRICT NO. 16,Seed,2023,2.14,366,6200,0.39,318,572,294,1.9686
TOUCHET IRRIGATION DISTRICT NO. 16,Vegetable,2023,2.34,428,860,16.63,6731,4826,294,2.9529
TOUCHET IRRIGATION DISTRICT NO. 16,Cereal Grain,2024,1.75,674,277.5,3.6,92,236,407,2.081091
TOUCHET IRRIGATION DISTRICT NO. 16,Hay/Silage,2024,2.64,684,275,5,157,341,407,3.83877
TOUCHET IRRIGATION DISTRICT NO. 16,Herb,2024,2.12,1,60000,0.06,328,590,407,2.416
TOUCHET IRRIGATION DISTRICT NO. 16,Oilseed,2024,2.43,56,370,0.77,983,786,407,1.9686
TOUCHET IRRIGATION DISTRICT NO. 16,Seed,2024,2.57,558,5800,0.39,328,590,407,1.9686
TOUCHET IRRIGATION DISTRICT NO. 16,Vegetable,2024,3.04,333,1180,11.2,6943,4978,407,2.9529
TWO RIVERS IRRIGATION DISTRICT NO. 19,Cereal Grain,2015,2.75,1321,160,2.21,70,180,222,2.081091
TWO RIVERS IRRIGATION DISTRICT NO. 19,Hay/Silage,2015,2.51,242,174,5.42,120,260,222,3.83877
TWO RIVERS IRRIGATION DISTRICT NO. 19,Orchard,2015,2.63,950,1269,16.16,1700,3200,222,2.65761
TWO RIVERS IRRIGATION DISTRICT NO. 19,Vegetable,2015,2.73,2353,255,26.89,5300,3800,222,2.9529
TWO RIVERS IRRIGATION DISTRICT NO. 19,Cereal Grain,2016,2.69,1321,146,3.1,71,182,231,2.081091
TWO RIVERS IRRIGATION DISTRICT NO. 19,Hay/Silage,2016,2.39,242,142,5.43,253,455,231,3.83877
TWO RIVERS IRRIGATION DISTRICT NO. 19,Orchard,2016,2.44,950,1364,18.6,1717,3232,231,2.65761
TWO RIVERS IRRIGATION DISTRICT NO. 19,Vegetable,2016,2.26,2353,255,16.19,5353,3838,231,2.9529
TWO RIVERS IRRIGATION DISTRICT NO. 19,Cereal Grain,2017,2.53,959,148,2.86,72,185,240,2.081091
TWO RIVERS IRRIGATION DISTRICT NO. 19,Hay/Silage,2017,1.32,654,172,5.69,124,268,240,3.83877
TWO RIVERS IRRIGATION DISTRICT NO. 19,Orchard,2017,2.28,1072,1205,19,1751,3296,240,2.65761
TWO RIVERS IRRIGATION DISTRICT NO. 19,Vegetable,2017,2.59,1881,240,15.47,5459,3914,240,2.9529
TWO RIVERS IRRIGATION DISTRICT NO. 19,Cereal Grain,2018,2.65,895,172.67,3.05,74,189,250,2.081091
TWO RIVERS IRRIGATION DISTRICT NO. 19,Hay/Silage,2018,1.2,751,186,4.76,126,273,250,3.83877
TWO RIVERS IRRIGATION DISTRICT NO. 19,Orchard,2018,2.41,1072,1194,17.27,1785,3360,250,2.65761
TWO RIVERS IRRIGATION DISTRICT NO. 19,Vegetable,2018,2.39,2001,760,16.31,5565,3990,250,2.9529
TWO RIVERS IRRIGATION DISTRICT NO. 19,Cereal Grain,2019,2.59,895,180.44,2.84,75,193,260,2.081091
TWO RIVERS IRRIGATION DISTRICT NO. 19,Hay/Silage,2019,1.8,751,193,4.65,128,278,260,3.83877
TWO RIVERS IRRIGATION DISTRICT NO. 19,Orchard,2019,2.42,810,1234,18.86,1819,3424,260,2.65761
TWO RIVERS IRRIGATION DISTRICT NO. 19,Vegetable,2019,2.59,1703,780,16.6,5671,4066,260,2.9529
TWO RIVERS IRRIGATION DISTRICT NO. 19,Cereal Grain,2020,2.71,895,193.63,3.13,76,194,270,2.081091
TWO RIVERS IRRIGATION DISTRICT NO. 19,Hay/Silage,2020,2.03,751,191,4.81,130,281,270,3.83877
TWO RIVERS IRRIGATION DISTRICT NO. 19,Orchard,2020,2.57,1113,1676,16.88,1836,3456,270,2.65761
TWO RIVERS IRRIGATION DISTRICT NO. 19,Vegetable,2020,2.65,1960,780,16.52,5724,4104,270,2.9529
TWO RIVERS IRRIGATION DISTRICT NO. 19,Cereal Grain,2021,1.4,1286,275.03,1.86,79,203,281,2.081091
TWO RIVERS IRRIGATION DISTRICT NO. 19,Hay/Silage,2021,2.85,732,232,4.68,136,294,281,3.83877
TWO RIVERS IRRIGATION DISTRICT NO. 19,Herb,2021,2.26,108,386,0.06,283,509,281,2.416
TWO RIVERS IRRIGATION DISTRICT NO. 19,Orchard,2021,2.63,1035,1381,17.05,1921,3616,281,2.65761
TWO RIVERS IRRIGATION DISTRICT NO. 19,Vegetable,2021,2.33,1571,856,15.25,5989,4294,281,2.9529
TWO RIVERS IRRIGATION DISTRICT NO. 19,Cereal Grain,2022,1.94,1286,263.93,2.77,85,220,383,2.081091
TWO RIVERS IRRIGATION DISTRICT NO. 19,Hay/Silage,2022,2.53,732,320,5.3,146,317,383,3.83877
TWO RIVERS IRRIGATION DISTRICT NO. 19,Herb,2022,2.2,108,424,0.06,305,549,383,2.416
TWO RIVERS IRRIGATION DISTRICT NO. 19,Orchard,2022,2.52,1035,1697,15.27,2074,3904,383,2.65761
TWO RIVERS IRRIGATION DISTRICT NO. 19,Vegetable,2022,2.3,1570,900,15.44,6466,4636,383,2.9529
TWO RIVERS IRRIGATION DISTRICT NO. 19,Cereal Grain,2023,1.44,1413,255.3,2.26,89,229,294,2.081091
TWO RIVERS IRRIGATION DISTRICT NO. 19,Hay/Silage,2023,2.53,732,258,5.11,152,330,294,3.83877
TWO RIVERS IRRIGATION DISTRICT NO. 19,Herb,2023,2.17,108,438,0.06,318,572,294,2.416
TWO RIVERS IRRIGATION DISTRICT NO. 19,Orchard,2023,2.39,1035,1173,18.67,2159,4064,294,2.65761
TWO RIVERS IRRIGATION DISTRICT NO. 19,Vegetable,2023,3.35,1702,860,16.63,6731,4826,294,2.9529
TWO RIVERS IRRIGATION DISTRICT NO. 19,Cereal Grain,2024,2.19,1468,277.5,3.6,92,236,407,2.081091
TWO RIVERS IRRIGATION DISTRICT NO. 19,Orchard,2024,2.67,1035,956,21.5,2227,4192,407,2.65761
TWO RIVERS IRRIGATION DISTRICT NO. 19,Vegetable,2024,1.32,1882,1180,11.2,6943,4978,407,2.9529
WALLA WALLA WATER & POWER DISTRICT NO. 18,Vegetable,2015,0.79,67,255,26.89,5300,3800,222,2.9529
WALLA WALLA WATER & POWER DISTRICT NO. 18,Vegetable,2016,2.26,67,255,16.19,5353,3838,231,2.9529
WALLA WALLA WATER & POWER DISTRICT NO. 18,Cereal Grain,2017,0.72,67,148,2.86,72,185,240,2.081091
WALLA WALLA WATER & POWER DISTRICT NO. 18,Vegetable,2018,1.34,195,760,16.31,5565,3990,250,2.9529
WALLA WALLA WATER & POWER DISTRICT NO. 18,Vegetable,2019,2.28,67,780,16.6,5671,4066,260,2.9529
WALLA WALLA WATER & POWER DISTRICT NO. 18,Cereal Grain,2020,1.28,67,193.63,3.13,76,194,270,2.081091
WALLA WALLA WATER & POWER DISTRICT NO. 18,Vegetable,2020,2.46,251,780,16.52,5724,4104,270,2.9529
WALLA WALLA WATER & POWER DISTRICT NO. 18,Cereal Grain,2021,1.51,67,275.03,1.86,79,203,281,2.081091
WALLA WALLA WATER & POWER DISTRICT NO. 18,Vegetable,2021,1.99,123,856,15.25,5989,4294,281,2.9529
WALLA WALLA WATER & POWER DISTRICT NO. 18,Cereal Grain,2022,1.41,67,263.93,2.77,85,220,383,2.081091
WALLA WALLA WATER & POWER DISTRICT NO. 18,Vegetable,2022,2.04,123,900,15.44,6466,4636,383,2.9529
WALLA WALLA WATER & POWER DISTRICT NO. 18,Cereal Grain,2023,2.62,67,255.3,2.26,89,229,294,2.081091
WALLA WALLA WATER & POWER DISTRICT NO. 18,Vegetable,2023,2.57,123,860,16.63,6731,4826,294,2.9529
WALLA WALLA WATER & POWER DISTRICT NO. 18,Seed,2024,1.84,67,5800,0.39,328,590,407,1.9686
WALLA WALLA WATER & POWER DISTRICT NO. 18,Vegetable,2024,1.65,121,1180,11.2,6943,4978,407,2.9529
WATER DISTRIBUTION DISTRICT NO.  1,Hay/Silage,2015,1.52,8,174,5.42,120,260,222,3.83877
WATER DISTRIBUTION DISTRICT NO.  1,Hay/Silage,2016,1.57,8,142,5.43,253,455,231,3.83877
WATER DISTRIBUTION DISTRICT NO.  1,Hay/Silage,2017,1.57,8,172,5.69,124,268,240,3.83877
WATER DISTRIBUTION DISTRICT NO.  1,Hay/Silage,2018,1.57,3,186,4.76,126,273,250,3.83877
WATER DISTRIBUTION DISTRICT NO.  1,Seed,2018,1.62,3,4200,0.4,263,473,250,1.9686
WATER DISTRIBUTION DISTRICT NO.  1,Hay/Silage,2019,1.62,3,193,4.65,128,278,260,3.83877
WATER DISTRIBUTION DISTRICT NO.  1,Seed,2019,1.5,3,4400,0.38,268,482,260,1.9686
WATER DISTRIBUTION DISTRICT NO.  1,Hay/Silage,2021,1.63,7,232,4.68,136,294,281,3.83877
WATER DISTRIBUTION DISTRICT NO.  1,Hay/Silage,2022,1.68,7,320,5.3,146,317,383,3.83877
WATER DISTRIBUTION DISTRICT NO.  1,Hay/Silage,2023,2.04,7,258,5.11,152,330,294,3.83877
WATER DISTRIBUTION DISTRICT NO.  1,Seed,2024,2.87,4,5800,0.39,328,590,407,1.9686
