g,i,year,xwater,omegaland,omegasupply,omegalabor,p,y,xland,Etc
TOUCHET IRRIGATION DISTRICT NO. 16,Hay/Silage,2022,2.1,383,317,146,320,5,9742,3.838
TWO RIVERS IRRIGATION DISTRICT NO. 19,Hay/Silage,2022,2.1,383,317,146,320,5,9742,3.838
WATER DISTRIBUTION DISTRICT NO.  1,Hay/Silage,2022,2.1,383,317,146,320,5,9742,3.838
WEST SIDE IRRIGATION DISTRICT NO. 5,Hay/Silage,2022,2.1,383,317,146,320,5,9742,3.838
GARDENA FARMS DISTRICT NO. 13,Orchard,2023,2.9,294,4064,2159,4010,19,1802,2.657
TWO RIVERS IRRIGATION DISTRICT NO. 19,Orchard,2023,2.9,294,4064,2159,4010,19,1802,2.657
GARDENA FARMS DISTRICT NO. 13,Orchard,2018,3,250,3360,1785,4117,17,1813,2.657
TOUCHET IRRIGATION DISTRICT NO. 16,Orchard,2018,3,250,3360,1785,4117,17,1813,2.657
TWO RIVERS IRRIGATION DISTRICT NO. 19,Orchard,2018,3,250,3360,1785,4117,17,1813,2.657
GARDENA FARMS DISTRICT NO. 13,Orchard,2019,2.4,260,3424,1819,4142,19,1796,2.657
TWO RIVERS IRRIGATION DISTRICT NO. 19,Orchard,2019,2.4,260,3424,1819,4142,19,1796,2.657
GARDENA FARMS DISTRICT NO. 13,Orchard,2015,2.7,222,3200,1700,4446,16,1982,2.657
TOUCHET IRRIGATION DISTRICT NO. 16,Orchard,2015,2.7,222,3200,1700,4446,16,1982,2.657
TWO RIVERS IRRIGATION DISTRICT NO. 19,Orchard,2015,2.7,222,3200,1700,4446,16,1982,2.657
GARDENA FARMS DISTRICT NO. 13,Orchard,2021,3.2,281,3616,1921,4677,17,1803,2.657
TWO RIVERS IRRIGATION DISTRICT NO. 19,Orchard,2021,3.2,281,3616,1921,4677,17,1803,2.657
GARDENA FARMS DISTRICT NO. 13,Orchard,2016,2.6,231,3232,1717,4772,19,1982,2.657
TOUCHET IRRIGATION DISTRICT NO. 16,Orchard,2016,2.6,231,3232,1717,4772,19,1982,2.657
TWO RIVERS IRRIGATION DISTRICT NO. 19,Orchard,2016,2.6,231,3232,1717,4772,19,1982,2.657
GARDENA FARMS DISTRICT NO. 13,Orchard,2024,2.5,407,4192,2227,4781,21.5,1802,2.657
TWO RIVERS IRRIGATION DISTRICT NO. 19,Orchard,2024,2.5,407,4192,2227,4781,21.5,1802,2.657
GARDENA FARMS DISTRICT NO. 13,Orchard,2020,3.1,270,3456,1836,5536,17,1796,2.657
TWO RIVERS IRRIGATION DISTRICT NO. 19,Orchard,2020,3.1,270,3456,1836,5536,17,1796,2.657
GARDENA FARMS DISTRICT NO. 13,Orchard,2022,2.6,383,3904,2074,5655,15,1803,2.657
TWO RIVERS IRRIGATION DISTRICT NO. 19,Orchard,2022,2.6,383,3904,2074,5655,15,1803,2.657
BLALOCK IRRIGATION DISTRICT NO. 3,Seed,2024,2.3,407,590,328,14000,0.39,14057,1.9686
CONSOLIDATED IRRIGATION DISTRICT NO. 14,Seed,2024,2.3,407,590,328,14000,0.39,14057,1.9686
EAST SIDE IRRIGATION DISTRICT NO. 6,Seed,2024,2.3,407,590,328,14000,0.39,14057,1.9686
GARDENA FARMS DISTRICT NO. 13,Seed,2024,2.3,407,590,328,14000,0.39,14057,1.9686
HUDSON BAY IRRIGATION DISTRICT NO.,Seed,2024,2.3,407,590,328,14000,0.39,14057,1.9686
LOWDEN IRRIGATION DISTRICT NO. 2,Seed,2024,2.3,407,590,328,14000,0.39,14057,1.9686
MUD CREEK IRRIGATION DISTRICT NO. 7,Seed,2024,2.3,407,590,328,14000,0.39,14057,1.9686
TOUCHET IRRIGATION DISTRICT NO. 16,Seed,2024,2.3,407,590,328,14000,0.39,14057,1.9686
WALLA WALLA WATER & POWER DISTRICT NO. 18,Seed,2024,2.3,407,590,328,14000,0.39,14057,1.9686
WATER DISTRIBUTION DISTRICT NO.  1,Seed,2024,2.3,407,590,328,14000,0.39,14057,1.9686
WEST SIDE IRRIGATION DISTRICT NO. 5,Seed,2024,2.3,407,590,328,14000,0.39,14057,1.9686
BLALOCK IRRIGATION DISTRICT NO. 3,Vegetable,2017,1.8,0,3914,5459,240,15,6676,2.952
BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,Vegetable,2017,1.8,0,3914,5459,240,15,6676,2.952
CONSOLIDATED IRRIGATION DISTRICT NO. 14,Vegetable,2017,1.8,0,3914,5459,240,15,6676,2.952
GARDENA FARMS DISTRICT NO. 13,Vegetable,2017,1.8,0,3914,5459,240,15,6676,2.952
HYDRO-IRRIGATION DISTRICT NO. 9,Vegetable,2017,1.8,0,3914,5459,240,15,6676,2.952
LOWDEN IRRIGATION DISTRICT NO. 2,Vegetable,2017,1.8,0,3914,5459,240,15,6676,2.952
TWO RIVERS IRRIGATION DISTRICT NO. 19,Vegetable,2017,1.8,0,3914,5459,240,15,6676,2.952
WEST SIDE IRRIGATION DISTRICT NO. 5,Vegetable,2017,1.8,0,3914,5459,240,15,6676,2.952
BLALOCK IRRIGATION DISTRICT NO. 3,Vegetable,2016,2.4,231,3838,5353,255,16,6856,2.952
BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,Vegetable,2016,2.4,231,3838,5353,255,16,6856,2.952
CONSOLIDATED IRRIGATION DISTRICT NO. 14,Vegetable,2016,2.4,231,3838,5353,255,16,6856,2.952
EAST SIDE IRRIGATION DISTRICT NO. 6,Vegetable,2016,2.4,231,3838,5353,255,16,6856,2.952
GARDENA FARMS DISTRICT NO. 13,Vegetable,2016,2.4,231,3838,5353,255,16,6856,2.952
HUDSON BAY IRRIGATION DISTRICT NO.,Vegetable,2016,2.4,231,3838,5353,255,16,6856,2.952
HYDRO-IRRIGATION DISTRICT NO. 9,Vegetable,2016,2.4,231,3838,5353,255,16,6856,2.952
LOWDEN IRRIGATION DISTRICT NO. 2,Vegetable,2016,2.4,231,3838,5353,255,16,6856,2.952
TOUCHET IRRIGATION DISTRICT NO. 16,Vegetable,2016,2.4,231,3838,5353,255,16,6856,2.952
TWO RIVERS IRRIGATION DISTRICT NO. 19,Vegetable,2016,2.4,231,3838,5353,255,16,6856,2.952
WALLA WALLA WATER & POWER DISTRICT NO. 18,Vegetable,2016,2.4,231,3838,5353,255,16,6856,2.952
WEST SIDE IRRIGATION DISTRICT NO. 5,Vegetable,2016,2.4,231,3838,5353,255,16,6856,2.952
BLALOCK IRRIGATION DISTRICT NO. 3,Vegetable,2015,2.4,222,3800,5300,255,27,6856,2.952
BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,Vegetable,2015,2.4,222,3800,5300,255,27,6856,2.952
CONSOLIDATED IRRIGATION DISTRICT NO. 14,Vegetable,2015,2.4,222,3800,5300,255,27,6856,2.952
EAST SIDE IRRIGATION DISTRICT NO. 6,Vegetable,2015,2.4,222,3800,5300,255,27,6856,2.952
GARDENA FARMS DISTRICT NO. 13,Vegetable,2015,2.4,222,3800,5300,255,27,6856,2.952
HUDSON BAY IRRIGATION DISTRICT NO.,Vegetable,2015,2.4,222,3800,5300,255,27,6856,2.952
HYDRO-IRRIGATION DISTRICT NO. 9,Vegetable,2015,2.4,222,3800,5300,255,27,6856,2.952
LOWDEN IRRIGATION DISTRICT NO. 2,Vegetable,2015,2.4,222,3800,5300,255,27,6856,2.952
TOUCHET IRRIGATION DISTRICT NO. 16,Vegetable,2015,2.4,222,3800,5300,255,27,6856,2.952
TWO RIVERS IRRIGATION DISTRICT NO. 19,Vegetable,2015,2.4,222,3800,5300,255,27,6856,2.952
WALLA WALLA WATER & POWER DISTRICT NO. 18,Vegetable,2015,2.4,222,3800,5300,255,27,6856,2.952
WEST SIDE IRRIGATION DISTRICT NO. 5,Vegetable,2015,2.4,222,3800,5300,255,27,6856,2.952
BLALOCK IRRIGATION DISTRICT NO. 3,Vegetable,2018,2.7,250,3990,5565,760,16,6676,2.952
BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,Vegetable,2018,2.7,250,3990,5565,760,16,6676,2.952
EAST SIDE IRRIGATION DISTRICT NO. 6,Vegetable,2018,2.7,250,3990,5565,760,16,6676,2.952
GARDENA FARMS DISTRICT NO. 13,Vegetable,2018,2.7,250,3990,5565,760,16,6676,2.952
HYDRO-IRRIGATION DISTRICT NO. 9,Vegetable,2018,2.7,250,3990,5565,760,16,6676,2.952
ORCHARD IRRIGATION DISTRICT NO. 10,Vegetable,2018,2.7,250,3990,5565,760,16,6676,2.952
TOUCHET IRRIGATION DISTRICT NO. 16,Vegetable,2018,2.7,250,3990,5565,760,16,6676,2.952
TWO RIVERS IRRIGATION DISTRICT NO. 19,Vegetable,2018,2.7,250,3990,5565,760,16,6676,2.952
WALLA WALLA WATER & POWER DISTRICT NO. 18,Vegetable,2018,2.7,250,3990,5565,760,16,6676,2.952
WEST SIDE IRRIGATION DISTRICT NO. 5,Vegetable,2018,2.7,250,3990,5565,760,16,6676,2.952
BLALOCK IRRIGATION DISTRICT NO. 3,Vegetable,2019,1.9,260,4066,5671,780,17,6684,2.952
BLALOCK IRRIGATION DISTRICT NO. 3,Vegetable,2020,2.6,270,4104,5724,780,17,6684,2.952
BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,Vegetable,2020,2.6,270,4104,5724,780,17,6684,2.952
EAST SIDE IRRIGATION DISTRICT NO. 6,Vegetable,2019,1.9,260,4066,5671,780,17,6684,2.952
EAST SIDE IRRIGATION DISTRICT NO. 6,Vegetable,2020,2.6,270,4104,5724,780,17,6684,2.952
GARDENA FARMS DISTRICT NO. 13,Vegetable,2019,1.9,260,4066,5671,780,17,6684,2.952
GARDENA FARMS DISTRICT NO. 13,Vegetable,2020,2.6,270,4104,5724,780,17,6684,2.952
HYDRO-IRRIGATION DISTRICT NO. 9,Vegetable,2019,1.9,260,4066,5671,780,17,6684,2.952
HYDRO-IRRIGATION DISTRICT NO. 9,Vegetable,2020,2.6,270,4104,5724,780,17,6684,2.952
ORCHARD IRRIGATION DISTRICT NO. 10,Vegetable,2020,2.6,270,4104,5724,780,17,6684,2.952
TOUCHET IRRIGATION DISTRICT NO. 16,Vegetable,2020,2.6,270,4104,5724,780,17,6684,2.952
TWO RIVERS IRRIGATION DISTRICT NO. 19,Vegetable,2019,1.9,260,4066,5671,780,17,6684,2.952
TWO RIVERS IRRIGATION DISTRICT NO. 19,Vegetable,2020,2.6,270,4104,5724,780,17,6684,2.952
WALLA WALLA WATER & POWER DISTRICT NO. 18,Vegetable,2019,1.9,260,4066,5671,780,17,6684,2.952
WALLA WALLA WATER & POWER DISTRICT NO. 18,Vegetable,2020,2.6,270,4104,5724,780,17,6684,2.952
WEST SIDE IRRIGATION DISTRICT NO. 5,Vegetable,2019,1.9,260,4066,5671,780,17,6684,2.952
WEST SIDE IRRIGATION DISTRICT NO. 5,Vegetable,2020,2.6,270,4104,5724,780,17,6684,2.952
BLALOCK IRRIGATION DISTRICT NO. 3,Vegetable,2021,3.2,281,4294,5989,856,15,6806,2.952
BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,Vegetable,2021,3.2,281,4294,5989,856,15,6806,2.952
CONSOLIDATED IRRIGATION DISTRICT NO. 14,Vegetable,2021,3.2,281,4294,5989,856,15,6806,2.952
EAST SIDE IRRIGATION DISTRICT NO. 6,Vegetable,2021,3.2,281,4294,5989,856,15,6806,2.952
GARDENA FARMS DISTRICT NO. 13,Vegetable,2021,3.2,281,4294,5989,856,15,6806,2.952
HYDRO-IRRIGATION DISTRICT NO. 9,Vegetable,2021,3.2,281,4294,5989,856,15,6806,2.952
MUD CREEK IRRIGATION DISTRICT NO. 7,Vegetable,2021,3.2,281,4294,5989,856,15,6806,2.952
TOUCHET IRRIGATION DISTRICT NO. 16,Vegetable,2021,3.2,281,4294,5989,856,15,6806,2.952
TWO RIVERS IRRIGATION DISTRICT NO. 19,Vegetable,2021,3.2,281,4294,5989,856,15,6806,2.952
WALLA WALLA WATER & POWER DISTRICT NO. 18,Vegetable,2021,3.2,281,4294,5989,856,15,6806,2.952
WEST SIDE IRRIGATION DISTRICT NO. 5,Vegetable,2021,3.2,281,4294,5989,856,15,6806,2.952
BLALOCK IRRIGATION DISTRICT NO. 3,Vegetable,2023,3.2,294,4826,6731,860,17,6705,2.952
BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,Vegetable,2023,3.2,294,4826,6731,860,17,6705,2.952
CONSOLIDATED IRRIGATION DISTRICT NO. 14,Vegetable,2023,3.2,294,4826,6731,860,17,6705,2.952
EAST SIDE IRRIGATION DISTRICT NO. 6,Vegetable,2023,3.2,294,4826,6731,860,17,6705,2.952
GARDENA FARMS DISTRICT NO. 13,Vegetable,2023,3.2,294,4826,6731,860,17,6705,2.952
HYDRO-IRRIGATION DISTRICT NO. 9,Vegetable,2023,3.2,294,4826,6731,860,17,6705,2.952
MUD CREEK IRRIGATION DISTRICT NO. 7,Vegetable,2023,3.2,294,4826,6731,860,17,6705,2.952
TOUCHET IRRIGATION DISTRICT NO. 16,Vegetable,2023,3.2,294,4826,6731,860,17,6705,2.952
TWO RIVERS IRRIGATION DISTRICT NO. 19,Vegetable,2023,3.2,294,4826,6731,860,17,6705,2.952
WALLA WALLA WATER & POWER DISTRICT NO. 18,Vegetable,2023,3.2,294,4826,6731,860,17,6705,2.952
WEST SIDE IRRIGATION DISTRICT NO. 5,Vegetable,2023,3.2,294,4826,6731,860,17,6705,2.952
BLALOCK IRRIGATION DISTRICT NO. 3,Vegetable,2022,3.1,383,4636,6466,900,15,6806,2.952
BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,Vegetable,2022,3.1,383,4636,6466,900,15,6806,2.952
CONSOLIDATED IRRIGATION DISTRICT NO. 14,Vegetable,2022,3.1,383,4636,6466,900,15,6806,2.952
EAST SIDE IRRIGATION DISTRICT NO. 6,Vegetable,2022,3.1,383,4636,6466,900,15,6806,2.952
GARDENA FARMS DISTRICT NO. 13,Vegetable,2022,3.1,383,4636,6466,900,15,6806,2.952
HYDRO-IRRIGATION DISTRICT NO. 9,Vegetable,2022,3.1,383,4636,6466,900,15,6806,2.952
MUD CREEK IRRIGATION DISTRICT NO. 7,Vegetable,2022,3.1,383,4636,6466,900,15,6806,2.952
TOUCHET IRRIGATION DISTRICT NO. 16,Vegetable,2022,3.1,383,4636,6466,900,15,6806,2.952
TWO RIVERS IRRIGATION DISTRICT NO. 19,Vegetable,2022,3.1,383,4636,6466,900,15,6806,2.952
WALLA WALLA WATER & POWER DISTRICT NO. 18,Vegetable,2022,3.1,383,4636,6466,900,15,6806,2.952
WEST SIDE IRRIGATION DISTRICT NO. 5,Vegetable,2022,3.1,383,4636,6466,900,15,6806,2.952
BLALOCK IRRIGATION DISTRICT NO. 3,Vegetable,2024,2.4,407,4978,6943,1180,11.2,6705,2.952
BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,Vegetable,2024,2.4,407,4978,6943,1180,11.2,6705,2.952
CONSOLIDATED IRRIGATION DISTRICT NO. 14,Vegetable,2024,2.4,407,4978,6943,1180,11.2,6705,2.952
EAST SIDE IRRIGATION DISTRICT NO. 6,Vegetable,2024,2.4,407,4978,6943,1180,11.2,6705,2.952
GARDENA FARMS DISTRICT NO. 13,Vegetable,2024,2.4,407,4978,6943,1180,11.2,6705,2.952
HYDRO-IRRIGATION DISTRICT NO. 9,Vegetable,2024,2.4,407,4978,6943,1180,11.2,6705,2.952
TOUCHET IRRIGATION DISTRICT NO. 16,Vegetable,2024,2.4,407,4978,6943,1180,11.2,6705,2.952
TWO RIVERS IRRIGATION DISTRICT NO. 19,Vegetable,2024,2.4,407,4978,6943,1180,11.2,6705,2.952
WALLA WALLA WATER & POWER DISTRICT NO. 18,Vegetable,2024,2.4,407,4978,6943,1180,11.2,6705,2.952
WEST SIDE IRRIGATION DISTRICT NO. 5,Vegetable,2024,2.4,407,4978,6943,1180,11.2,6705,2.952
