crop_code,internal_id,name,county,direct_jobs,direct_value_add,total_jobs,total_revenue,total_value_add
PASTR,DAP054,Glanville,Sacramento,3.2E-05,5.2E-01,3.6E-05,1.7E+00,9.0E-01
POTATO,DAP054,Glanville,Sacramento,4.6E-06,5.2E-01,8.0E-06,1.5E+00,8.3E-01
PRTOM,DAP054,Glanville,Sacramento,4.6E-06,5.2E-01,8.0E-06,1.5E+00,8.3E-01
SAFLR,DAP054,Glanville,Sacramento,9.1E-07,9.5E-01,5.1E-06,1.7E+00,1.4E+00
VINE,DAP054,Glanville,Sacramento,5.8E-06,6.3E-01,9.1E-06,1.5E+00,9.1E-01
ALFAL,DAP055,Glide District,Yolo,1.5E-05,5.2E-01,1.8E-05,1.5E+00,8.4E-01
CORN,DAP055,Glide District,Yolo,1.2E-06,7.5E-01,4.1E-06,1.4E+00,1.0
GRAIN,DAP055,Glide District,Yolo,1.2E-06,7.5E-01,4.1E-06,1.4E+00,1.0
PASTR,DAP055,Glide District,Yolo,1.5E-05,5.2E-01,1.8E-05,1.5E+00,8.4E-01
PRTOM,DAP055,Glide District,Yolo,2.5E-06,5.2E-01,5.9E-06,1.5E+00,8.1E-01
SAFLR,DAP055,Glide District,Yolo,4.0E-07,9.5E-01,3.5E-06,1.5E+00,1.3E+00
ALFAL,DAP056,Grand Island,Sacramento,3.2E-05,5.2E-01,3.6E-05,1.7E+00,9.0E-01
CORN,DAP056,Grand Island,Sacramento,2.1E-06,7.5E-01,5.5E-06,1.6E+00,1.1E+00
CUCUR,DAP056,Grand Island,Sacramento,4.6E-06,5.2E-01,8.0E-06,1.5E+00,8.3E-01
GRAIN,DAP056,Grand Island,Sacramento,2.1E-06,7.5E-01,5.5E-06,1.6E+00,1.1E+00
OTHDEC,DAP056,Grand Island,Sacramento,5.8E-06,6.3E-01,9.1E-06,1.5E+00,9.1E-01
OTHTRK,DAP056,Grand Island,Sacramento,4.6E-06,5.2E-01,8.0E-06,1.5E+00,8.3E-01
PASTR,DAP056,Grand Island,Sacramento,3.2E-05,5.2E-01,3.6E-05,1.7E+00,9.0E-01
PRTOM,DAP056,Grand Island,Sacramento,4.6E-06,5.2E-01,8.0E-06,1.5E+00,8.3E-01
SAFLR,DAP056,Grand Island,Sacramento,9.1E-07,9.5E-01,5.1E-06,1.7E+00,1.4E+00
VINE,DAP056,Grand Island,Sacramento,5.8E-06,6.3E-01,9.1E-06,1.5E+00,9.1E-01
ALFAL,DAP057,Hastings Tract,Solano,2.0E-05,5.2E-01,2.4E-05,1.4E+00,7.9E-01
CORN,DAP057,Hastings Tract,Solano,1.6E-06,7.5E-01,4.7E-06,1.4E+00,1.0
CUCUR,DAP057,Hastings Tract,Solano,3.4E-06,5.2E-01,6.5E-06,1.4E+00,7.4E-01
GRAIN,DAP057,Hastings Tract,Solano,1.6E-06,7.5E-01,4.7E-06,1.4E+00,1.0
OTHFLD,DAP057,Hastings Tract,Solano,2.0E-05,5.2E-01,2.4E-05,1.4E+00,7.9E-01
PASTR,DAP057,Hastings Tract,Solano,2.0E-05,5.2E-01,2.4E-05,1.4E+00,7.9E-01
PRTOM,DAP057,Hastings Tract,Solano,3.4E-06,5.2E-01,6.5E-06,1.4E+00,7.4E-01
SAFLR,DAP057,Hastings Tract,Solano,5.7E-07,9.5E-01,4.2E-06,1.5E+00,1.3E+00
ALFAL,DAP058,Holland Tract,Contra Costa,5.7E-05,5.2E-01,6.2E-05,1.8E+00,1.0
CORN,DAP058,Holland Tract,Contra Costa,3.4E-06,7.5E-01,8.5E-06,1.9E+00,1.3E+00
GRAIN,DAP058,Holland Tract,Contra Costa,3.4E-06,7.5E-01,8.5E-06,1.9E+00,1.3E+00
PASTR,DAP058,Holland Tract,Contra Costa,5.7E-05,5.2E-01,6.2E-05,1.8E+00,1.0
ALFAL,DAP059,Holt Station,San Joaquin,2.0E-05,5.2E-01,2.4E-05,1.5E+00,8.5E-01
CORN,DAP059,Holt Station,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
CUCUR,DAP059,Holt Station,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
GRAIN,DAP059,Holt Station,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
OTHDEC,DAP059,Holt Station,San Joaquin,4.3E-06,6.3E-01,8.4E-06,1.4E+00,9.2E-01
PRTOM,DAP059,Holt Station,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
VINE,DAP059,Holt Station,San Joaquin,4.3E-06,6.3E-01,8.4E-06,1.4E+00,9.2E-01
ALFAL,DAP060,Honker Lake Tract,San Joaquin,2.0E-05,5.2E-01,2.4E-05,1.5E+00,8.5E-01
ALPIS,DAP060,Honker Lake Tract,San Joaquin,1.6E-05,6.6E-01,2.1E-05,1.6E+00,1.1E+00
CORN,DAP060,Honker Lake Tract,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
CUCUR,DAP060,Honker Lake Tract,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
GRAIN,DAP060,Honker Lake Tract,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
OTHDEC,DAP060,Honker Lake Tract,San Joaquin,4.3E-06,6.3E-01,8.4E-06,1.4E+00,9.2E-01
OTHTRK,DAP060,Honker Lake Tract,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
PASTR,DAP060,Honker Lake Tract,San Joaquin,2.0E-05,5.2E-01,2.4E-05,1.5E+00,8.5E-01
PRTOM,DAP060,Honker Lake Tract,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
SAFLR,DAP060,Honker Lake Tract,San Joaquin,5.5E-07,9.5E-01,3.4E-06,1.4E+00,1.2E+00
SUBTRP,DAP060,Honker Lake Tract,San Joaquin,4.3E-06,6.3E-01,8.4E-06,1.4E+00,9.2E-01
ALFAL,DAP061,Hotchkiss Tract,Contra Costa,5.7E-05,5.2E-01,6.2E-05,1.8E+00,1.0
PASTR,DAP061,Hotchkiss Tract,Contra Costa,5.7E-05,5.2E-01,6.2E-05,1.8E+00,1.0
ALFAL,DAP063,Jersey Island,Contra Costa,5.7E-05,5.2E-01,6.2E-05,1.8E+00,1.0
CORN,DAP063,Jersey Island,Contra Costa,3.4E-06,7.5E-01,8.5E-06,1.9E+00,1.3E+00
GRAIN,DAP063,Jersey Island,Contra Costa,3.4E-06,7.5E-01,8.5E-06,1.9E+00,1.3E+00
OTHTRK,DAP063,Jersey Island,Contra Costa,7.8E-06,5.2E-01,1.2E-05,1.7E+00,9.3E-01
PASTR,DAP063,Jersey Island,Contra Costa,5.7E-05,5.2E-01,6.2E-05,1.8E+00,1.0
SAFLR,DAP063,Jersey Island,Contra Costa,1.7E-06,9.5E-01,8.9E-06,2.3E+00,1.8E+00
ALFAL,DAP064,Jones Tract (Lower And Upper),San Joaquin,2.0E-05,5.2E-01,2.4E-05,1.5E+00,8.5E-01
CORN,DAP064,Jones Tract (Lower And Upper),San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
CUCUR,DAP064,Jones Tract (Lower And Upper),San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
GRAIN,DAP064,Jones Tract (Lower And Upper),San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
OTHTRK,DAP064,Jones Tract (Lower And Upper),San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
PASTR,DAP064,Jones Tract (Lower And Upper),San Joaquin,2.0E-05,5.2E-01,2.4E-05,1.5E+00,8.5E-01
POTATO,DAP064,Jones Tract (Lower And Upper),San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
PRTOM,DAP064,Jones Tract (Lower And Upper),San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
SAFLR,DAP064,Jones Tract (Lower And Upper),San Joaquin,5.5E-07,9.5E-01,3.4E-06,1.4E+00,1.2E+00
ALFAL,DAP065,Kasson District,San Joaquin,2.0E-05,5.2E-01,2.4E-05,1.5E+00,8.5E-01
ALPIS,DAP065,Kasson District,San Joaquin,1.6E-05,6.6E-01,2.1E-05,1.6E+00,1.1E+00
CORN,DAP065,Kasson District,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
GRAIN,DAP065,Kasson District,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
OTHTRK,DAP065,Kasson District,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
PASTR,DAP065,Kasson District,San Joaquin,2.0E-05,5.2E-01,2.4E-05,1.5E+00,8.5E-01
SAFLR,DAP065,Kasson District,San Joaquin,5.5E-07,9.5E-01,3.4E-06,1.4E+00,1.2E+00
CORN,DAP066,King Island,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
GRAIN,DAP066,King Island,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
ONGAR,DAP066,King Island,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
OTHDEC,DAP066,King Island,San Joaquin,4.3E-06,6.3E-01,8.4E-06,1.4E+00,9.2E-01
OTHTRK,DAP066,King Island,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
PRTOM,DAP066,King Island,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
OTHDEC,DAP068,Libby Mcneil,Sacramento,5.8E-06,6.3E-01,9.1E-06,1.5E+00,9.1E-01
PASTR,DAP068,Libby Mcneil,Sacramento,3.2E-05,5.2E-01,3.6E-05,1.7E+00,9.0E-01
PASTR,DAP069,Liberty Island,Solano,2.0E-05,5.2E-01,2.4E-05,1.4E+00,7.9E-01
ALFAL,DAP070,Lisbon District,Yolo,1.5E-05,5.2E-01,1.8E-05,1.5E+00,8.4E-01
ALPIS,DAP070,Lisbon District,Yolo,1.2E-05,6.6E-01,1.6E-05,1.5E+00,1.0
CORN,DAP070,Lisbon District,Yolo,1.2E-06,7.5E-01,4.1E-06,1.4E+00,1.0
CUCUR,DAP070,Lisbon District,Yolo,2.5E-06,5.2E-01,5.9E-06,1.5E+00,8.1E-01
GRAIN,DAP070,Lisbon District,Yolo,1.2E-06,7.5E-01,4.1E-06,1.4E+00,1.0
OTHDEC,DAP070,Lisbon District,Yolo,3.3E-06,6.3E-01,7.0E-06,1.4E+00,9.1E-01
PASTR,DAP070,Lisbon District,Yolo,1.5E-05,5.2E-01,1.8E-05,1.5E+00,8.4E-01
PRTOM,DAP070,Lisbon District,Yolo,2.5E-06,5.2E-01,5.9E-06,1.5E+00,8.1E-01
SAFLR,DAP070,Lisbon District,Yolo,4.0E-07,9.5E-01,3.5E-06,1.5E+00,1.3E+00
VINE,DAP070,Lisbon District,Yolo,3.3E-06,6.3E-01,7.0E-06,1.4E+00,9.1E-01
ALFAL,DAP071,Little Egbert Tract,Solano,2.0E-05,5.2E-01,2.4E-05,1.4E+00,7.9E-01
CORN,DAP071,Little Egbert Tract,Solano,1.6E-06,7.5E-01,4.7E-06,1.4E+00,1.0
GRAIN,DAP071,Little Egbert Tract,Solano,1.6E-06,7.5E-01,4.7E-06,1.4E+00,1.0
OTHTRK,DAP071,Little Egbert Tract,Solano,3.4E-06,5.2E-01,6.5E-06,1.4E+00,7.4E-01
ALFAL,DAP075,Lower Roberts Island,San Joaquin,2.0E-05,5.2E-01,2.4E-05,1.5E+00,8.5E-01
ALPIS,DAP075,Lower Roberts Island,San Joaquin,1.6E-05,6.6E-01,2.1E-05,1.6E+00,1.1E+00
CORN,DAP075,Lower Roberts Island,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
CUCUR,DAP075,Lower Roberts Island,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
GRAIN,DAP075,Lower Roberts Island,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
OTHDEC,DAP075,Lower Roberts Island,San Joaquin,4.3E-06,6.3E-01,8.4E-06,1.4E+00,9.2E-01
OTHTRK,DAP075,Lower Roberts Island,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
PASTR,DAP075,Lower Roberts Island,San Joaquin,2.0E-05,5.2E-01,2.4E-05,1.5E+00,8.5E-01
PRTOM,DAP075,Lower Roberts Island,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
RICE,DAP075,Lower Roberts Island,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
SAFLR,DAP075,Lower Roberts Island,San Joaquin,5.5E-07,9.5E-01,3.4E-06,1.4E+00,1.2E+00
VINE,DAP075,Lower Roberts Island,San Joaquin,4.3E-06,6.3E-01,8.4E-06,1.4E+00,9.2E-01
ALFAL,DAP076,Maintenance Area 9 North,Sacramento,3.2E-05,5.2E-01,3.6E-05,1.7E+00,9.0E-01
SAFLR,DAP076,Maintenance Area 9 North,Sacramento,9.1E-07,9.5E-01,5.1E-06,1.7E+00,1.4E+00
ALFAL,DAP077,Maintenance Area 9 South,Sacramento,3.2E-05,5.2E-01,3.6E-05,1.7E+00,9.0E-01
CORN,DAP077,Maintenance Area 9 South,Sacramento,2.1E-06,7.5E-01,5.5E-06,1.6E+00,1.1E+00
CUCUR,DAP077,Maintenance Area 9 South,Sacramento,4.6E-06,5.2E-01,8.0E-06,1.5E+00,8.3E-01
GRAIN,DAP077,Maintenance Area 9 South,Sacramento,2.1E-06,7.5E-01,5.5E-06,1.6E+00,1.1E+00
OTHDEC,DAP077,Maintenance Area 9 South,Sacramento,5.8E-06,6.3E-01,9.1E-06,1.5E+00,9.1E-01
OTHTRK,DAP077,Maintenance Area 9 South,Sacramento,4.6E-06,5.2E-01,8.0E-06,1.5E+00,8.3E-01
PASTR,DAP077,Maintenance Area 9 South,Sacramento,3.2E-05,5.2E-01,3.6E-05,1.7E+00,9.0E-01
POTATO,DAP077,Maintenance Area 9 South,Sacramento,4.6E-06,5.2E-01,8.0E-06,1.5E+00,8.3E-01
PRTOM,DAP077,Maintenance Area 9 South,Sacramento,4.6E-06,5.2E-01,8.0E-06,1.5E+00,8.3E-01
SAFLR,DAP077,Maintenance Area 9 South,Sacramento,9.1E-07,9.5E-01,5.1E-06,1.7E+00,1.4E+00
SUBTRP,DAP077,Maintenance Area 9 South,Sacramento,5.8E-06,6.3E-01,9.1E-06,1.5E+00,9.1E-01
VINE,DAP077,Maintenance Area 9 South,Sacramento,5.8E-06,6.3E-01,9.1E-06,1.5E+00,9.1E-01
ALFAL,DAP078,Mandeville Island,San Joaquin,2.0E-05,5.2E-01,2.4E-05,1.5E+00,8.5E-01
CORN,DAP078,Mandeville Island,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
DRYBN,DAP078,Mandeville Island,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
GRAIN,DAP078,Mandeville Island,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
OTHDEC,DAP078,Mandeville Island,San Joaquin,4.3E-06,6.3E-01,8.4E-06,1.4E+00,9.2E-01
OTHTRK,DAP078,Mandeville Island,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
PASTR,DAP078,Mandeville Island,San Joaquin,2.0E-05,5.2E-01,2.4E-05,1.5E+00,8.5E-01
POTATO,DAP078,Mandeville Island,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
PRTOM,DAP078,Mandeville Island,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
SAFLR,DAP078,Mandeville Island,San Joaquin,5.5E-07,9.5E-01,3.4E-06,1.4E+00,1.2E+00
VINE,DAP078,Mandeville Island,San Joaquin,4.3E-06,6.3E-01,8.4E-06,1.4E+00,9.2E-01
CORN,DAP079,Mccormack-Williamson Tract,Sacramento,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
GRAIN,DAP079,Mccormack-Williamson Tract,Sacramento,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
OTHTRK,DAP079,Mccormack-Williamson Tract,Sacramento,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
PRTOM,DAP079,Mccormack-Williamson Tract,Sacramento,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
ALFAL,DAP080,Mcdonald Island,San Joaquin,2.0E-05,5.2E-01,2.4E-05,1.5E+00,8.5E-01
ALPIS,DAP080,Mcdonald Island,San Joaquin,1.6E-05,6.6E-01,2.1E-05,1.6E+00,1.1E+00
CORN,DAP080,Mcdonald Island,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
GRAIN,DAP080,Mcdonald Island,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
OTHDEC,DAP080,Mcdonald Island,San Joaquin,4.3E-06,6.3E-01,8.4E-06,1.4E+00,9.2E-01
OTHTRK,DAP080,Mcdonald Island,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
PASTR,DAP080,Mcdonald Island,San Joaquin,2.0E-05,5.2E-01,2.4E-05,1.5E+00,8.5E-01
POTATO,DAP080,Mcdonald Island,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
PRTOM,DAP080,Mcdonald Island,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
SUBTRP,DAP080,Mcdonald Island,San Joaquin,4.3E-06,6.3E-01,8.4E-06,1.4E+00,9.2E-01
VINE,DAP080,Mcdonald Island,San Joaquin,4.3E-06,6.3E-01,8.4E-06,1.4E+00,9.2E-01
ALFAL,DAP081,Mcmullin Ranch,San Joaquin,2.0E-05,5.2E-01,2.4E-05,1.5E+00,8.5E-01
ALPIS,DAP081,Mcmullin Ranch,San Joaquin,1.6E-05,6.6E-01,2.1E-05,1.6E+00,1.1E+00
CORN,DAP081,Mcmullin Ranch,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
CUCUR,DAP081,Mcmullin Ranch,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
DRYBN,DAP081,Mcmullin Ranch,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
GRAIN,DAP081,Mcmullin Ranch,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
OTHTRK,DAP081,Mcmullin Ranch,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
PASTR,DAP081,Mcmullin Ranch,San Joaquin,2.0E-05,5.2E-01,2.4E-05,1.5E+00,8.5E-01
POTATO,DAP081,Mcmullin Ranch,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
PRTOM,DAP081,Mcmullin Ranch,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
SAFLR,DAP081,Mcmullin Ranch,San Joaquin,5.5E-07,9.5E-01,3.4E-06,1.4E+00,1.2E+00
CORN,DAP082,Medford Island,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
PASTR,DAP082,Medford Island,San Joaquin,2.0E-05,5.2E-01,2.4E-05,1.5E+00,8.5E-01
ALFAL,DAP083,Merritt Island,Yolo,1.5E-05,5.2E-01,1.8E-05,1.5E+00,8.4E-01
CORN,DAP083,Merritt Island,Yolo,1.2E-06,7.5E-01,4.1E-06,1.4E+00,1.0
CUCUR,DAP083,Merritt Island,Yolo,2.5E-06,5.2E-01,5.9E-06,1.5E+00,8.1E-01
DRYBN,DAP083,Merritt Island,Yolo,1.2E-06,7.5E-01,4.1E-06,1.4E+00,1.0
GRAIN,DAP083,Merritt Island,Yolo,1.2E-06,7.5E-01,4.1E-06,1.4E+00,1.0
OTHDEC,DAP083,Merritt Island,Yolo,3.3E-06,6.3E-01,7.0E-06,1.4E+00,9.1E-01
OTHTRK,DAP083,Merritt Island,Yolo,2.5E-06,5.2E-01,5.9E-06,1.5E+00,8.1E-01
PASTR,DAP083,Merritt Island,Yolo,1.5E-05,5.2E-01,1.8E-05,1.5E+00,8.4E-01
PRTOM,DAP083,Merritt Island,Yolo,2.5E-06,5.2E-01,5.9E-06,1.5E+00,8.1E-01
SAFLR,DAP083,Merritt Island,Yolo,4.0E-07,9.5E-01,3.5E-06,1.5E+00,1.3E+00
VINE,DAP083,Merritt Island,Yolo,3.3E-06,6.3E-01,7.0E-06,1.4E+00,9.1E-01
ALFAL,DAP084,Middle & Upper Roberts Island,San Joaquin,2.0E-05,5.2E-01,2.4E-05,1.5E+00,8.5E-01
ALPIS,DAP084,Middle & Upper Roberts Island,San Joaquin,1.6E-05,6.6E-01,2.1E-05,1.6E+00,1.1E+00
CORN,DAP084,Middle & Upper Roberts Island,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
CUCUR,DAP084,Middle & Upper Roberts Island,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
DRYBN,DAP084,Middle & Upper Roberts Island,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
GRAIN,DAP084,Middle & Upper Roberts Island,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
OTHDEC,DAP084,Middle & Upper Roberts Island,San Joaquin,4.3E-06,6.3E-01,8.4E-06,1.4E+00,9.2E-01
OTHTRK,DAP084,Middle & Upper Roberts Island,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
PASTR,DAP084,Middle & Upper Roberts Island,San Joaquin,2.0E-05,5.2E-01,2.4E-05,1.5E+00,8.5E-01
POTATO,DAP084,Middle & Upper Roberts Island,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
PRTOM,DAP084,Middle & Upper Roberts Island,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
SAFLR,DAP084,Middle & Upper Roberts Island,San Joaquin,5.5E-07,9.5E-01,3.4E-06,1.4E+00,1.2E+00
SUBTRP,DAP084,Middle & Upper Roberts Island,San Joaquin,4.3E-06,6.3E-01,8.4E-06,1.4E+00,9.2E-01
VINE,DAP084,Middle & Upper Roberts Island,San Joaquin,4.3E-06,6.3E-01,8.4E-06,1.4E+00,9.2E-01
ALFAL,DAP085,Middle Delta Extra,Contra Costa,2.0E-05,5.2E-01,2.4E-05,1.5E+00,8.5E-01
ALPIS,DAP085,Middle Delta Extra,Contra Costa,1.6E-05,6.6E-01,2.1E-05,1.6E+00,1.1E+00
CORN,DAP085,Middle Delta Extra,Contra Costa,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
CUCUR,DAP085,Middle Delta Extra,Contra Costa,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
GRAIN,DAP085,Middle Delta Extra,Contra Costa,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
OTHDEC,DAP085,Middle Delta Extra,Contra Costa,4.3E-06,6.3E-01,8.4E-06,1.4E+00,9.2E-01
OTHTRK,DAP085,Middle Delta Extra,Contra Costa,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
PASTR,DAP085,Middle Delta Extra,Contra Costa,2.0E-05,5.2E-01,2.4E-05,1.5E+00,8.5E-01
PRTOM,DAP085,Middle Delta Extra,Contra Costa,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
SUBTRP,DAP085,Middle Delta Extra,Contra Costa,4.3E-06,6.3E-01,8.4E-06,1.4E+00,9.2E-01
VINE,DAP085,Middle Delta Extra,Contra Costa,4.3E-06,6.3E-01,8.4E-06,1.4E+00,9.2E-01
ALFAL,DAP087,Mossdale Island,San Joaquin,2.0E-05,5.2E-01,2.4E-05,1.5E+00,8.5E-01
CORN,DAP087,Mossdale Island,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
GRAIN,DAP087,Mossdale Island,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
PRTOM,DAP087,Mossdale Island,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
ALFAL,DAP088,Netherlands,Yolo,2.0E-05,5.2E-01,2.4E-05,1.4E+00,7.9E-01
ALPIS,DAP088,Netherlands,Yolo,1.6E-05,6.6E-01,2.1E-05,1.5E+00,9.9E-01
CORN,DAP088,Netherlands,Yolo,1.6E-06,7.5E-01,4.7E-06,1.4E+00,1.0
CUCUR,DAP088,Netherlands,Yolo,3.4E-06,5.2E-01,6.5E-06,1.4E+00,7.4E-01
GRAIN,DAP088,Netherlands,Yolo,1.6E-06,7.5E-01,4.7E-06,1.4E+00,1.0
ONGAR,DAP088,Netherlands,Yolo,3.4E-06,5.2E-01,6.5E-06,1.4E+00,7.4E-01
OTHDEC,DAP088,Netherlands,Yolo,4.5E-06,6.3E-01,8.0E-06,1.4E+00,8.8E-01
OTHFLD,DAP088,Netherlands,Yolo,2.0E-05,5.2E-01,2.4E-05,1.4E+00,7.9E-01
OTHTRK,DAP088,Netherlands,Yolo,3.4E-06,5.2E-01,6.5E-06,1.4E+00,7.4E-01
PASTR,DAP088,Netherlands,Yolo,2.0E-05,5.2E-01,2.4E-05,1.4E+00,7.9E-01
POTATO,DAP088,Netherlands,Yolo,3.4E-06,5.2E-01,6.5E-06,1.4E+00,7.4E-01
PRTOM,DAP088,Netherlands,Yolo,3.4E-06,5.2E-01,6.5E-06,1.4E+00,7.4E-01
SAFLR,DAP088,Netherlands,Yolo,5.7E-07,9.5E-01,4.2E-06,1.5E+00,1.3E+00
VINE,DAP088,Netherlands,Yolo,4.5E-06,6.3E-01,8.0E-06,1.4E+00,8.8E-01
ALFAL,DAP089,New Hope Tract,San Joaquin,2.0E-05,5.2E-01,2.4E-05,1.5E+00,8.5E-01
ALPIS,DAP089,New Hope Tract,San Joaquin,1.6E-05,6.6E-01,2.1E-05,1.6E+00,1.1E+00
CORN,DAP089,New Hope Tract,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
CUCUR,DAP089,New Hope Tract,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
GRAIN,DAP089,New Hope Tract,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
ONGAR,DAP089,New Hope Tract,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
OTHDEC,DAP089,New Hope Tract,San Joaquin,4.3E-06,6.3E-01,8.4E-06,1.4E+00,9.2E-01
OTHTRK,DAP089,New Hope Tract,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
PASTR,DAP089,New Hope Tract,San Joaquin,2.0E-05,5.2E-01,2.4E-05,1.5E+00,8.5E-01
POTATO,DAP089,New Hope Tract,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
PRTOM,DAP089,New Hope Tract,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
SAFLR,DAP089,New Hope Tract,San Joaquin,5.5E-07,9.5E-01,3.4E-06,1.4E+00,1.2E+00
SUBTRP,DAP089,New Hope Tract,San Joaquin,4.3E-06,6.3E-01,8.4E-06,1.4E+00,9.2E-01
VINE,DAP089,New Hope Tract,San Joaquin,4.3E-06,6.3E-01,8.4E-06,1.4E+00,9.2E-01
ALFAL,DAP090,North Delta Extra,Solano,2.0E-05,5.2E-01,2.4E-05,1.4E+00,7.9E-01
