i,g,year,xland,xwater,p,y,omegalabor,omegasupply,omegaland,omegawater,sigma,theta,pc,pimarginal,price_yield_correction_factor,alphaland,alphawater,alphasupply,alphalabor,rho,lambdaland,lambdacrop,betaland,betawater,betasupply,betalabor,tau,gamma,delta,Etc
Orchard,Yakima-Wapato,2016,10905,2,1364,18.6,1717,3232,345,15,0.17,0.13,1364,20046.4,0.20985085,1,2,1,1,-4.882352941,12.06,20034.34,0.777549184,0.033739354,0.123240139,0.065471324,18.47418184,0.000705393,13191.35118,0.13
Seed,Yakima-Wapato,2016,1376,2,8180,0.38,253,455,345,15,0.17,0.74,8180,2025.4,0.348410758,1,2,1,1,-4.882352941,12.06,2013.34,0.598099215,0.223258259,0.114805578,0.063836948,0.361553697,0.000982087,624866.6654,0.74
Vegetable,Yakima-Wapato,2016,4951,1,255,16.19,5353,3838,345,15,0.17,0.3,619.4286597,477.55,0.952380952,1,1,1,1,-4.882352941,12.06,465.49,0.082020831,0.00149573,0.38270737,0.533776069,16.19,0.000673265,43584.11329,0.3
Vineyard,Yakima-Wapato,2016,2539,2,703,6.71,2222,2929,345,15,0.17,0.13,864.7242921,276.3,0.952380952,1,2,1,1,-4.882352941,12.06,264.24,0.093328618,0.1329136,0.439979916,0.333777867,6.523754466,0.00302966,93.57947899,0.13
Cereal Grain,BLALOCK IRRIGATION DISTRICT NO. 3,2016,29,2,146,3,71,182,231,15,0.17,0.74,179.9,25.7,0.952380952,1,2,1,1,-4.882352941,25.7,0,0.184077404,0.63449843,0.130510664,0.050913501,2.469902463,0.046598322,1426.169523,0.74
Hay/Silage,BLALOCK IRRIGATION DISTRICT NO. 3,2016,37,2,142,5,253,455,231,15,0.17,0.51,203.49,48.45,0.952380952,1,2,1,1,-4.882352941,25.7,22.75,0.149257155,0.472592673,0.243020238,0.135129934,4.412883016,0.052994171,742.1953113,0.51
Vegetable,BLALOCK IRRIGATION DISTRICT NO. 3,2016,37,2,255,16,5353,3838,231,15,0.17,0.3,620.2875,472.6,0.952380952,1,2,1,1,-4.882352941,25.7,446.9,0.065272516,0.082084369,0.356048773,0.496594342,15.73151549,0.09009009,278.6124611,0.3
Cereal Grain,BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,2016,18,2,146,3,71,182,231,15,0.17,0.74,179.9,25.7,0.952380952,1,2,1,1,-4.882352941,25.7,0,0.184077404,0.63449843,0.130510664,0.050913501,2.469902463,0.075075075,885.2086692,0.74
Hay/Silage,BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,2016,6,2,142,5,253,455,231,15,0.17,0.51,203.49,48.45,0.952380952,1,2,1,1,-4.882352941,25.7,22.75,0.149257155,0.472592673,0.243020238,0.135129934,4.412883016,0.326797386,120.3559964,0.51
Hay/Silage,BRADEN IRRIGATION DISTRICT NO. 20,2016,15,2,142,5,253,455,231,15,0.17,0.51,203.49,48.45,0.952380952,1,2,1,1,-4.882352941,48.45,0,0.149257155,0.472592673,0.243020238,0.135129934,4.412883016,0.130718954,300.8899911,0.51
Cereal Grain,CONSOLIDATED IRRIGATION DISTRICT NO. 14,2016,2,2,146,3,71,182,231,15,0.17,0.74,179.9,25.7,0.952380952,1,2,1,1,-4.882352941,25.7,0,0.184077404,0.63449843,0.130510664,0.050913501,2.469902463,0.675675676,98.3565188,0.74
Hay/Silage,CONSOLIDATED IRRIGATION DISTRICT NO. 14,2016,7,2,142,5,253,455,231,15,0.17,0.51,203.49,48.45,0.952380952,1,2,1,1,-4.882352941,25.7,22.75,0.149257155,0.472592673,0.243020238,0.135129934,4.412883016,0.280112045,140.4153292,0.51
Vegetable,CONSOLIDATED IRRIGATION DISTRICT NO. 14,2016,24,2,255,16,5353,3838,231,15,0.17,0.3,620.2875,472.6,0.952380952,1,2,1,1,-4.882352941,25.7,446.9,0.065272516,0.082084369,0.356048773,0.496594342,15.73151549,0.138888889,180.7215964,0.3
Cereal Grain,EAST SIDE IRRIGATION DISTRICT NO. 6,2016,178,3,146,3,71,182,231,15,0.17,0.74,185.15,26.45,0.952380952,1,3,1,1,-4.882352941,26.45,0,0.025440623,0.949558493,0.017984826,0.007016058,1.65555046,0.007591862,8779.305933,0.74
Hay/Silage,EAST SIDE IRRIGATION DISTRICT NO. 6,2016,265,3,142,5,253,455,231,15,0.17,0.51,206.64,49.2,0.952380952,1,3,1,1,-4.882352941,26.45,22.75,0.026440467,0.906750643,0.042935092,0.023873798,3.10380711,0.007399186,5329.989744,0.51
Vegetable,EAST SIDE IRRIGATION DISTRICT NO. 6,2016,121,2,255,16,5353,3838,231,15,0.17,0.3,620.2875,472.6,0.952380952,1,2,1,1,-4.882352941,26.45,446.15,0.065272516,0.082084369,0.356048773,0.496594342,15.73151549,0.027548209,911.1380484,0.3
Cereal Grain,GARDENA FARMS DISTRICT NO. 13,2016,1432,3,146,3,71,182,231,15,0.17,0.74,185.15,26.45,0.952380952,1,3,1,1,-4.882352941,26.45,0,0.025440623,0.949558493,0.017984826,0.007016058,1.65555046,0.000943681,70629.02302,0.74
Hay/Silage,GARDENA FARMS DISTRICT NO. 13,2016,755,3,142,5,253,455,231,15,0.17,0.51,206.64,49.2,0.952380952,1,3,1,1,-4.882352941,26.45,22.75,0.026440467,0.906750643,0.042935092,0.023873798,3.10380711,0.002597065,15185.44248,0.51
Orchard,GARDENA FARMS DISTRICT NO. 13,2016,7,3,4772,19,1717,3232,231,15,0.17,0.13,4772,85443,0.057627829,1,3,1,1,-4.882352941,26.45,85416.55,0.854755326,0.09586932,0.032245129,0.017130225,18.61371532,1.098901099,35.57653541,0.13
Vegetable,GARDENA FARMS DISTRICT NO. 13,2016,160,3,255,16,5353,3838,231,15,0.17,0.3,621.271875,473.35,0.952380952,1,3,1,1,-4.882352941,26.45,446.9,0.036112101,0.492664326,0.196774679,0.274448894,13.93677855,0.020833333,1206.094906,0.3
Vineyard,GARDENA FARMS DISTRICT NO. 13,2016,4,2,703,7,2222,2929,231,15,0.17,0.13,811.8,270.6,0.952380952,1,2,1,1,-4.882352941,26.45,244.15,0.076727492,0.135347244,0.448035935,0.33988933,6.8019409,1.923076923,0.119023876,0.13
Hay/Silage,HUDSON BAY IRRIGATION DISTRICT NO.,2016,62,2,142,5,253,455,231,15,0.17,0.51,203.49,48.45,0.952380952,1,2,1,1,-4.882352941,48.45,0,0.149257155,0.472592673,0.243020238,0.135129934,4.412883016,0.031625553,1243.67863,0.51
Vegetable,HUDSON BAY IRRIGATION DISTRICT NO.,2016,16,2,255,16,5353,3838,231,15,0.17,0.3,620.2875,472.6,0.952380952,1,2,1,1,-4.882352941,48.45,424.15,0.065272516,0.082084369,0.356048773,0.496594342,15.73151549,0.208333333,120.4810643,0.3
Hay/Silage,HYDRO-IRRIGATION DISTRICT NO. 9,2016,27,2,142,5,253,455,231,15,0.17,0.51,203.49,48.45,0.952380952,1,2,1,1,-4.882352941,48.45,0,0.149257155,0.472592673,0.243020238,0.135129934,4.412883016,0.072621641,541.601984,0.51
Vegetable,HYDRO-IRRIGATION DISTRICT NO. 9,2016,15,2,255,16,5353,3838,231,15,0.17,0.3,620.2875,472.6,0.952380952,1,2,1,1,-4.882352941,48.45,424.15,0.065272516,0.082084369,0.356048773,0.496594342,15.73151549,0.222222222,112.9509977,0.3
Berry,Irrigated area outside irrigation districts,2016,29,2,1900,4,5454,7676,231,15,0.17,0.25,3515.1375,669.55,0.952380952,1,2,1,1,-4.882352941,25.7,643.85,0.060377307,0.059322828,0.514636844,0.365663021,3.95193787,0.137931034,119.5825774,0.25
Cereal Grain,Irrigated area outside irrigation districts,2016,14083,2,146,3,71,182,231,15,0.17,0.74,179.9,25.7,0.952380952,1,2,1,1,-4.882352941,25.7,0,0.184077404,0.63449843,0.130510664,0.050913501,2.469902463,9.60E-05,692577.4271,0.74
Hay/Silage,Irrigated area outside irrigation districts,2016,7703,2,142,5,253,455,231,15,0.17,0.51,203.49,48.45,0.952380952,1,2,1,1,-4.882352941,25.7,22.75,0.149257155,0.472592673,0.243020238,0.135129934,4.412883016,0.000254548,154517.0401,0.51
Oilseed,Irrigated area outside irrigation districts,2016,165,2,385,1,882,705,288,15,0.17,0.74,2000.25,95.25,0.952380952,1,2,1,1,-4.882352941,25.7,69.55,0.134234791,0.309912338,0.246928969,0.308923902,0.929712574,0.008190008,12114.72032,0.74
Orchard,Irrigated area outside irrigation districts,2016,1287,2,1364,19,1717,3232,231,15,0.17,0.13,1364,20706,0.20103411,1,2,1,1,-4.882352941,25.7,20680.3,0.78208282,0.033051733,0.120728456,0.064136992,18.87412957,0.005976929,1598.488692,0.13
Vegetable,Irrigated area outside irrigation districts,2016,3601,2,255,16,5353,3838,231,15,0.17,0.3,620.2875,472.6,0.952380952,1,2,1,1,-4.882352941,25.7,446.9,0.065272516,0.082084369,0.356048773,0.496594342,15.73151549,0.000925669,27115.76952,0.3
Vineyard,Irrigated area outside irrigation districts,2016,1792,2,703,7,2222,2929,231,15,0.17,0.13,811.8,270.6,0.952380952,1,2,1,1,-4.882352941,25.7,244.9,0.076727492,0.135347244,0.448035935,0.33988933,6.8019409,0.004292582,53.32269629,0.13
Cereal Grain,LOWDEN IRRIGATION DISTRICT NO. 2,2016,55,3,146,3,71,182,231,15,0.17,0.74,185.15,26.45,0.952380952,1,3,1,1,-4.882352941,26.45,0,0.025440623,0.949558493,0.017984826,0.007016058,1.65555046,0.024570025,2712.70689,0.74
Hay/Silage,LOWDEN IRRIGATION DISTRICT NO. 2,2016,46,3,142,5,253,455,231,15,0.17,0.51,206.64,49.2,0.952380952,1,3,1,1,-4.882352941,26.45,22.75,0.026440467,0.906750643,0.042935092,0.023873798,3.10380711,0.042625746,925.2057668,0.51
Vegetable,LOWDEN IRRIGATION DISTRICT NO. 2,2016,18,3,255,16,5353,3838,231,15,0.17,0.3,621.271875,473.35,0.952380952,1,3,1,1,-4.882352941,26.45,446.9,0.036112101,0.492664326,0.196774679,0.274448894,13.93677855,0.185185185,135.685677,0.3
Cereal Grain,MUD CREEK IRRIGATION DISTRICT NO. 7,2016,30,3,146,3,71,182,231,15,0.17,0.74,185.15,26.45,0.952380952,1,3,1,1,-4.882352941,26.45,0,0.025440623,0.949558493,0.017984826,0.007016058,1.65555046,0.045045045,1479.658303,0.74
Hay/Silage,ORCHARD IRRIGATION DISTRICT NO. 10,2016,2,2,142,5,253,455,231,15,0.17,0.51,203.49,48.45,0.952380952,1,2,1,1,-4.882352941,48.45,0,0.149257155,0.472592673,0.243020238,0.135129934,4.412883016,0.980392157,40.11866548,0.51
Cereal Grain,TOUCHET IRRIGATION DISTRICT NO. 16,2016,671,2,146,3,71,182,231,15,0.17,0.74,179.9,25.7,0.952380952,1,2,1,1,-4.882352941,25.7,0,0.184077404,0.63449843,0.130510664,0.050913501,2.469902463,0.002013936,32998.61206,0.74
Hay/Silage,TOUCHET IRRIGATION DISTRICT NO. 16,2016,612,2,142,5,253,455,231,15,0.17,0.51,203.49,48.45,0.952380952,1,2,1,1,-4.882352941,25.7,22.75,0.149257155,0.472592673,0.243020238,0.135129934,4.412883016,0.003203896,12276.31164,0.51
Vegetable,TOUCHET IRRIGATION DISTRICT NO. 16,2016,107,2,255,16,5353,3838,231,15,0.17,0.3,620.2875,472.6,0.952380952,1,2,1,1,-4.882352941,25.7,446.9,0.065272516,0.082084369,0.356048773,0.496594342,15.73151549,0.031152648,805.7171172,0.3
Cereal Grain,TWO RIVERS IRRIGATION DISTRICT NO. 19,2016,1124,3,146,3,71,182,231,15,0.17,0.74,185.15,26.45,0.952380952,1,3,1,1,-4.882352941,26.45,0,0.025440623,0.949558493,0.017984826,0.007016058,1.65555046,0.00120227,55437.86443,0.74
Hay/Silage,TWO RIVERS IRRIGATION DISTRICT NO. 19,2016,2,2,142,5,253,455,231,15,0.17,0.51,203.49,48.45,0.952380952,1,2,1,1,-4.882352941,26.45,22,0.149257155,0.472592673,0.243020238,0.135129934,4.412883016,0.980392157,40.11866548,0.51
Orchard,TWO RIVERS IRRIGATION DISTRICT NO. 19,2016,455,2,1364,19,1717,3232,231,15,0.17,0.13,1364,20706,0.20103411,1,2,1,1,-4.882352941,26.45,20679.55,0.78208282,0.033051733,0.120728456,0.064136992,18.87412957,0.016906171,565.1222649,0.13
Vegetable,TWO RIVERS IRRIGATION DISTRICT NO. 19,2016,2032,2,255,16,5353,3838,231,15,0.17,0.3,620.2875,472.6,0.952380952,1,2,1,1,-4.882352941,26.45,446.15,0.065272516,0.082084369,0.356048773,0.496594342,15.73151549,0.00164042,15301.09516,0.3
Vegetable,WALLA WALLA WATER & POWER DISTRICT NO. 18,2016,34,1,255,16,5353,3838,231,15,0.17,0.3,619.303125,471.85,0.952380952,1,1,1,1,-4.882352941,471.85,0,0.070931541,0.001513798,0.387330518,0.540224143,16,0.098039216,255.7493555,0.3
Hay/Silage,WATER DISTRIBUTION DISTRICT NO.Ê 1,2016,8,2,142,5,253,455,231,15,0.17,0.51,203.49,48.45,0.952380952,1,2,1,1,-4.882352941,48.45,0,0.149257155,0.472592673,0.243020238,0.135129934,4.412883016,0.245098039,160.4746619,0.51
Cereal Grain,WEST SIDE IRRIGATION DISTRICT NO. 5,2016,236,2,146,3,71,182,231,15,0.17,0.74,179.9,25.7,0.952380952,1,2,1,1,-4.882352941,25.7,0,0.184077404,0.63449843,0.130510664,0.050913501,2.469902463,0.005726065,11606.06922,0.74
Hay/Silage,WEST SIDE IRRIGATION DISTRICT NO. 5,2016,258,2,142,5,253,455,231,15,0.17,0.51,203.49,48.45,0.952380952,1,2,1,1,-4.882352941,25.7,22.75,0.149257155,0.472592673,0.243020238,0.135129934,4.412883016,0.007599939,5175.307847,0.51
Vegetable,WEST SIDE IRRIGATION DISTRICT NO. 5,2016,113,2,255,16,5353,3838,231,15,0.17,0.3,620.2875,472.6,0.952380952,1,2,1,1,-4.882352941,25.7,446.9,0.065272516,0.082084369,0.356048773,0.496594342,15.73151549,0.029498525,850.8975163,0.3
