g,i,year,xland,xwater,p,y,omegalabor,omegasupply,omegaland,Etc
Ellensburg Wat,Vineyard,2021,8,2,937,3.97,2486,3277,395,0.13
FGP,Hay/Silage,2021,156,2,232,4.68,136,294,395,0.51
Fowler Ditch,Hay/Silage,2021,11,2,232,4.68,136,294,395,0.51
Fowler Ditch,Herb,2021,665,2,386,0.06,848,678,395,0.41
Fowler Ditch,Vineyard,2021,18,2,937,3.97,2486,3277,395,0.13
Irrigated area outside irrigation districts,Berry,2021,174,2,3600,2.8,6102,8588,395,0.25
Irrigated area outside irrigation districts,Cereal Grain,2021,8796,2,275,1.86,79,203,395,0.74
Irrigated area outside irrigation districts,Hay/Silage,2021,9425,2,232,4.68,136,294,395,0.51
Irrigated area outside irrigation districts,Herb,2021,3933,2,386,0.06,848,678,395,0.41
Irrigated area outside irrigation districts,Orchard,2021,9038,2,1381,17.05,1921,3616,395,0.13
Irrigated area outside irrigation districts,Vegetable,2021,5447,2,856,15.25,5989,4294,395,0.3
Irrigated area outside irrigation districts,Vineyard,2021,5013,2,937,3.97,2486,3277,395,0.13
KID,Berry,2021,4,2,3600,2.8,6102,8588,395,0.25
KID,Cereal Grain,2021,1257,2,275,1.86,79,203,395,0.74
KID,Hay/Silage,2021,1196,2,232,4.68,136,294,395,0.51
KID,Herb,2021,207,2,386,0.06,848,678,395,0.41
KID,Orchard,2021,2003,2,1381,17.05,1921,3616,395,0.13
KID,Vegetable,2021,1656,2,856,15.25,5989,4294,395,0.3
KID,Vineyard,2021,4844,2,937,3.97,2486,3277,395,0.13
KRD,Berry,2021,33,2,3600,2.8,6102,8588,395,0.25
KRD,Cereal Grain,2021,879,2,275,1.86,79,203,395,0.74
KRD,Hay/Silage,2021,25065,2,232,4.68,136,294,395,0.51
KRD,Herb,2021,13,2,386,0.06,848,678,395,0.41
KRD,Oilseed,2021,107,2.5,640,0.55,565.5,593.5,395,0.74
KRD,Orchard,2021,1699,2,1381,17.05,1921,3616,395,0.13
KRD,Seed,2021,325,2,9270,0.35,283,509,395,0.74
KRD,Vegetable,2021,543,2,856,15.25,5989,4294,395,0.3
KRD,Vineyard,2021,13,2,937,3.97,2486,3277,395,0.13
Moxee-Selah,Hay/Silage,2021,188,2,232,4.68,136,294,395,0.51
Moxee-Selah,Herb,2021,3403,2,386,0.06,848,678,395,0.41
Moxee-Selah,Orchard,2021,103,2,1381,17.05,1921,3616,395,0.13
Moxee-Selah,Vegetable,2021,6,2,856,15.25,5989,4294,395,0.3
Moxee-Selah,Vineyard,2021,5,1.617,937,3.97,2486,3277,395,0.13
Naches-Selah,Berry,2021,24,2,3600,2.8,6102,8588,395,0.25
Naches-Selah,Hay/Silage,2021,569,2,232,4.68,136,294,395,0.51
Naches-Selah,Orchard,2021,4286,2,1381,17.05,1921,3616,395,0.13
Naches-Selah,Vineyard,2021,11,2,937,3.97,2486,3277,395,0.13
Not In I.D.,Berry,2021,1,2.444,3600,2.8,6102,8588,395,0.25
Not In I.D.,Cereal Grain,2021,58,2,275,1.86,79,203,395,0.74
Not In I.D.,Hay/Silage,2021,1090,2,232,4.68,136,294,395,0.51
Not In I.D.,Herb,2021,384,2,386,0.06,848,678,395,0.41
Not In I.D.,Orchard,2021,2490,2,1381,17.05,1921,3616,395,0.13
Not In I.D.,Vegetable,2021,13,2,856,15.25,5989,4294,395,0.3
Not In I.D.,Vineyard,2021,1,2.572,937,3.97,2486,3277,395,0.13
Olsen,Hay/Silage,2021,363,2,232,4.68,136,294,395,0.51
Olsen,Vineyard,2021,29,2.589,937,3.97,2486,3277,395,0.13
Packwood,Hay/Silage,2021,409,2,232,4.68,136,294,395,0.51
Roza,Berry,2021,1429,2,3600,2.8,6102,8588,395,0.25
Roza,Cereal Grain,2021,6522,2,275,1.86,79,203,395,0.74
Roza,Hay/Silage,2021,3887,2,232,4.68,136,294,395,0.51
Roza,Herb,2021,8779,2,386,0.06,848,678,395,0.41
Roza,Orchard,2021,27726,2,1381,17.05,1921,3616,395,0.13
Roza,Seed,2021,37,2,9270,0.35,283,509,395,0.74
Roza,Vegetable,2021,118,2,856,15.25,5989,4294,395,0.3
Roza,Vineyard,2021,14926,2,937,3.97,2486,3277,395,0.13
SVID,Berry,2021,8,2,3600,2.8,6102,8588,395,0.25
SVID,Cereal Grain,2021,13784,2,275,1.86,79,203,395,0.74
SVID,Hay/Silage,2021,11053,2,232,4.68,136,294,395,0.51
SVID,Herb,2021,8978,2,386,0.06,848,678,395,0.41
SVID,Oilseed,2021,1,3.061,640,0.55,565.5,593.5,395,0.74
SVID,Orchard,2021,7008,2,1381,17.05,1921,3616,395,0.13
SVID,Seed,2021,37,2,9270,0.35,283,509,395,0.74
SVID,Vegetable,2021,871,2,856,15.25,5989,4294,395,0.3
SVID,Vineyard,2021,8362,2,937,3.97,2486,3277,395,0.13
Terrace Heights,Hay/Silage,2021,15,2,232,4.68,136,294,395,0.51
Terrace Heights,Orchard,2021,31,2,1381,17.05,1921,3616,395,0.13
Terrace Heights,Vineyard,2021,10,2,937,3.97,2486,3277,395,0.13
Throp Mill,Hay/Silage,2021,67,2,232,4.68,136,294,395,0.51
Union Gap,Hay/Silage,2021,49,2,232,4.68,136,294,395,0.51
Union Gap,Orchard,2021,1685,2,1381,17.05,1921,3616,395,0.13
Union Gap,Vineyard,2021,55,2,937,3.97,2486,3277,395,0.13
Wenas,Hay/Silage,2021,853,2,232,4.68,136,294,395,0.51
Wenas,Herb,2021,91,2,386,0.06,848,678,395,0.41
Wenas,Seed,2021,1,1.854,9270,0.35,283,509,395,0.74
West Side,Cereal Grain,2021,22,2,275,1.86,79,203,395,0.74
West Side,Hay/Silage,2021,3486,2,232,4.68,136,294,395,0.51
West Side,Vegetable,2021,3,2.096,856,15.25,5989,4294,395,0.3
Yakima-Tieton,Berry,2021,14,2,3600,2.8,6102,8588,395,0.25
Yakima-Tieton,Hay/Silage,2021,1605,2,232,4.68,136,294,395,0.51
Yakima-Tieton,Herb,2021,1,2,386,0.06,848,678,395,0.41
Yakima-Tieton,Orchard,2021,14526,2,1381,17.05,1921,3616,395,0.13
Yakima-Tieton,Vegetable,2021,9,2,856,15.25,5989,4294,395,0.3
Yakima-Tieton,Vineyard,2021,81,2,937,3.97,2486,3277,395,0.13
Yakima-Wapato,Berry,2021,27,2,3600,2.8,6102,8588,395,0.25
Yakima-Wapato,Cereal Grain,2021,31173,2,275,1.86,79,203,395,0.74
Yakima-Wapato,Hay/Silage,2021,17724,2,232,4.68,136,294,395,0.51
Yakima-Wapato,Herb,2021,24346,2,386,0.06,848,678,395,0.41
Yakima-Wapato,Oilseed,2021,953,2.5,640,0.55,565.5,593.5,395,0.74
Yakima-Wapato,Orchard,2021,10061,2,1381,17.05,1921,3616,395,0.13
Yakima-Wapato,Seed,2021,167,2,9270,0.35,283,509,395,0.74
Yakima-Wapato,Vegetable,2021,3233,2,856,15.25,5989,4294,395,0.3
Yakima-Wapato,Vineyard,2021,2125,2,937,3.97,2486,3277,395,0.13
Ahtanum,Berry,2020,3,1,2200,3.88,5832,8208,390,0.25
Ahtanum,Cereal Grain,2020,3,2,194,3.13,76,194,390,0.74
Ahtanum,Hay/Silage,2020,1421,2,191,4.81,130,281,390,0.51
Ahtanum,Herb,2020,36,2,386,0.06,810,648,390,0.41
Ahtanum,Orchard,2020,167,2,1676,16.88,1836,3456,390,0.13
Buena,Cereal Grain,2020,109,2,194,3.13,76,194,390,0.74
Buena,Hay/Silage,2020,33,2,191,4.81,130,281,390,0.51
Buena,Herb,2020,61,2,386,0.06,810,648,390,0.41
Buena,Orchard,2020,40,2,1676,16.88,1836,3456,390,0.13
Buena,Vegetable,2020,4,2,780,16.52,5724,4104,390,0.3
Bull Ditch,Cereal Grain,2020,26,2.321,194,3.13,76,194,390,0.74
Bull Ditch,Hay/Silage,2020,818,2,191,4.81,130,281,390,0.51
Cascade,Berry,2020,1,1.581,2200,3.88,5832,8208,390,0.25
Cascade,Cereal Grain,2020,382,2,194,3.13,76,194,390,0.74
Cascade,Hay/Silage,2020,6109,2,191,4.81,130,281,390,0.51
Cascade,Herb,2020,3,2,386,0.06,810,648,390,0.41
Cascade,Orchard,2020,81,2,1676,16.88,1836,3456,390,0.13
Cascade,Seed,2020,348,2,9030,0.36,270,486,390,0.74
Cascade,Vegetable,2020,81,2,780,16.52,5724,4104,390,0.3
Ellensburg Wat,Cereal Grain,2020,360,2,194,3.13,76,194,390,0.74
Ellensburg Wat,Hay/Silage,2020,7097,2,191,4.81,130,281,390,0.51
Ellensburg Wat,Seed,2020,184,2,9030,0.36,270,486,390,0.74
Ellensburg Wat,Vegetable,2020,394,2,780,16.52,5724,4104,390,0.3
Ellensburg Wat,Vineyard,2020,2,2,889,4.38,2376,3132,390,0.13
FGP,Cereal Grain,2020,155,2,194,3.13,76,194,390,0.74
Fowler Ditch,Hay/Silage,2020,27,2,191,4.81,130,281,390,0.51
Fowler Ditch,Herb,2020,712,2,386,0.06,810,648,390,0.41
Fowler Ditch,Vineyard,2020,16,2.305,889,4.38,2376,3132,390,0.13
Irrigated area outside irrigation districts,Berry,2020,193,1,2200,3.88,5832,8208,390,0.25
Irrigated area outside irrigation districts,Cereal Grain,2020,7677,2,194,3.13,76,194,390,0.74
Irrigated area outside irrigation districts,Hay/Silage,2020,10553,2,191,4.81,130,281,390,0.51
Irrigated area outside irrigation districts,Herb,2020,3805,2,386,0.06,810,648,390,0.41
Irrigated area outside irrigation districts,Orchard,2020,10009,2,1676,16.88,1836,3456,390,0.13
Irrigated area outside irrigation districts,Seed,2020,19,2,9030,0.36,270,486,390,0.74
Irrigated area outside irrigation districts,Vegetable,2020,4629,2,780,16.52,5724,4104,390,0.3
Irrigated area outside irrigation districts,Vineyard,2020,5235,2,889,4.38,2376,3132,390,0.13
KID,Berry,2020,4,1,2200,3.88,5832,8208,390,0.25
KID,Cereal Grain,2020,893,2,194,3.13,76,194,390,0.74
KID,Hay/Silage,2020,1210,2,191,4.81,130,281,390,0.51
KID,Herb,2020,207,2,386,0.06,810,648,390,0.41
KID,Orchard,2020,2003,2,1676,16.88,1836,3456,390,0.13
KID,Vegetable,2020,1656,2,780,16.52,5724,4104,390,0.3
KID,Vineyard,2020,4821,2,889,4.38,2376,3132,390,0.13
KRD,Berry,2020,1,1,2200,3.88,5832,8208,390,0.25
KRD,Cereal Grain,2020,788,2,194,3.13,76,194,390,0.74
KRD,Hay/Silage,2020,26157,2,191,4.81,130,281,390,0.51
KRD,Herb,2020,6,2,386,0.06,810,648,390,0.41
KRD,Oilseed,2020,150,2.812,400,1.12,540,567,390,0.74
KRD,Orchard,2020,1646,2,1676,16.88,1836,3456,390,0.13
KRD,Seed,2020,422,2,9030,0.36,270,486,390,0.74
KRD,Vegetable,2020,176,2,780,16.52,5724,4104,390,0.3
KRD,Vineyard,2020,14,2,889,4.38,2376,3132,390,0.13
Moxee-Selah,Hay/Silage,2020,197,2,191,4.81,130,281,390,0.51
Moxee-Selah,Herb,2020,3319,2,386,0.06,810,648,390,0.41
Moxee-Selah,Orchard,2020,154,2,1676,16.88,1836,3456,390,0.13
Moxee-Selah,Vegetable,2020,6,2,780,16.52,5724,4104,390,0.3
Moxee-Selah,Vineyard,2020,5,1.529,889,4.38,2376,3132,390,0.13
Naches-Selah,Berry,2020,26,1,2200,3.88,5832,8208,390,0.25
Naches-Selah,Hay/Silage,2020,605,2,191,4.81,130,281,390,0.51
Naches-Selah,Orchard,2020,4491,2,1676,16.88,1836,3456,390,0.13
Naches-Selah,Vineyard,2020,13,2,889,4.38,2376,3132,390,0.13
Not In I.D.,Berry,2020,1,2.251,2200,3.88,5832,8208,390,0.25
Not In I.D.,Cereal Grain,2020,71,2,194,3.13,76,194,390,0.74
Not In I.D.,Hay/Silage,2020,1197,2,191,4.81,130,281,390,0.51
Not In I.D.,Herb,2020,410,2,386,0.06,810,648,390,0.41
Not In I.D.,Orchard,2020,2687,2,1676,16.88,1836,3456,390,0.13
Not In I.D.,Vegetable,2020,14,2,780,16.52,5724,4104,390,0.3
Not In I.D.,Vineyard,2020,3,2,889,4.38,2376,3132,390,0.13
Olsen,Hay/Silage,2020,410,2,191,4.81,130,281,390,0.51
Packwood,Hay/Silage,2020,399,2,191,4.81,130,281,390,0.51
Roza,Berry,2020,1257,1,2200,3.88,5832,8208,390,0.25
Roza,Cereal Grain,2020,5662,2,194,3.13,76,194,390,0.74
Roza,Hay/Silage,2020,4102,2,191,4.81,130,281,390,0.51
Roza,Herb,2020,8090,2,386,0.06,810,648,390,0.41
Roza,Orchard,2020,28283,2,1676,16.88,1836,3456,390,0.13
Roza,Seed,2020,25,2,9030,0.36,270,486,390,0.74
Roza,Vegetable,2020,391,2,780,16.52,5724,4104,390,0.3
Roza,Vineyard,2020,16643,2,889,4.38,2376,3132,390,0.13
SVID,Berry,2020,8,1,2200,3.88,5832,8208,390,0.25
SVID,Cereal Grain,2020,14173,2,194,3.13,76,194,390,0.74
SVID,Hay/Silage,2020,10157,2,191,4.81,130,281,390,0.51
SVID,Herb,2020,8652,2,386,0.06,810,648,390,0.41
SVID,Oilseed,2020,3,2.5,400,1.12,540,567,390,0.74
SVID,Orchard,2020,7323,2,1676,16.88,1836,3456,390,0.13
SVID,Seed,2020,43,2,9030,0.36,270,486,390,0.74
SVID,Vegetable,2020,1137,2,780,16.52,5724,4104,390,0.3
SVID,Vineyard,2020,9107,2,889,4.38,2376,3132,390,0.13
Terrace Heights,Hay/Silage,2020,20,2,191,4.81,130,281,390,0.51
Terrace Heights,Orchard,2020,32,2,1676,16.88,1836,3456,390,0.13
Terrace Heights,Vineyard,2020,11,2,889,4.38,2376,3132,390,0.13
Throp Mill,Hay/Silage,2020,66,2,191,4.81,130,281,390,0.51
Union Gap,Hay/Silage,2020,47,2,191,4.81,130,281,390,0.51
Union Gap,Orchard,2020,1743,2,1676,16.88,1836,3456,390,0.13
Union Gap,Vineyard,2020,56,2,889,4.38,2376,3132,390,0.13
Wenas,Hay/Silage,2020,857,2,191,4.81,130,281,390,0.51
Wenas,Herb,2020,91,2,386,0.06,810,648,390,0.41
Wenas,Seed,2020,1,1.598,9030,0.36,270,486,390,0.74
West Side,Cereal Grain,2020,183,2,194,3.13,76,194,390,0.74
West Side,Hay/Silage,2020,3357,2,191,4.81,130,281,390,0.51
Yakima-Tieton,Berry,2020,18,1,2200,3.88,5832,8208,390,0.25
Yakima-Tieton,Hay/Silage,2020,1661,2,191,4.81,130,281,390,0.51
Yakima-Tieton,Herb,2020,1,2,386,0.06,810,648,390,0.41
Yakima-Tieton,Orchard,2020,15362,2,1676,16.88,1836,3456,390,0.13
Yakima-Tieton,Seed,2020,8,2,9030,0.36,270,486,390,0.74
Yakima-Tieton,Vegetable,2020,14,2,780,16.52,5724,4104,390,0.3
Yakima-Tieton,Vineyard,2020,70,2,889,4.38,2376,3132,390,0.13
Yakima-Wapato,Berry,2020,26,1,2200,3.88,5832,8208,390,0.25
Yakima-Wapato,Cereal Grain,2020,30580,2,194,3.13,76,194,390,0.74
Yakima-Wapato,Hay/Silage,2020,17430,2,191,4.81,130,281,390,0.51
Yakima-Wapato,Herb,2020,24799,2,386,0.06,810,648,390,0.41
Yakima-Wapato,Oilseed,2020,1082,2.5,400,1.12,540,567,390,0.74
Yakima-Wapato,Orchard,2020,11144,2,1676,16.88,1836,3456,390,0.13
Yakima-Wapato,Seed,2020,675,2,9030,0.36,270,486,390,0.74
Yakima-Wapato,Vegetable,2020,3496,2,780,16.52,5724,4104,390,0.3
Yakima-Wapato,Vineyard,2020,2369,2,889,4.38,2376,3132,390,0.13
Ahtanum,Berry,2019,3,2,1600,3.86,5778,8132,360,0.25
Ahtanum,Cereal Grain,2019,3,2,180,2.84,75,193,360,0.74
Ahtanum,Hay/Silage,2019,1421,2,193,4.65,128,278,360,0.51
Ahtanum,Herb,2019,36,2,386,0.07,803,642,360,0.41
Ahtanum,Orchard,2019,167,2,1234,18.86,1819,3424,360,0.13
Buena,Cereal Grain,2019,109,2,180,2.84,75,193,360,0.74
Buena,Hay/Silage,2019,62,2,193,4.65,128,278,360,0.51
Buena,Herb,2019,61,2,386,0.07,803,642,360,0.41
Buena,Orchard,2019,40,2,1234,18.86,1819,3424,360,0.13
Buena,Vegetable,2019,2,1.722,780,16.6,5671,4066,360,0.3
Bull Ditch,Cereal Grain,2019,26,2.2,180,2.84,75,193,360,0.74
Bull Ditch,Hay/Silage,2019,818,2,193,4.65,128,278,360,0.51
Cascade,Berry,2019,1,1.631,1600,3.86,5778,8132,360,0.25
Cascade,Cereal Grain,2019,328,2,180,2.84,75,193,360,0.74
Cascade,Hay/Silage,2019,6109,2,193,4.65,128,278,360,0.51
Cascade,Herb,2019,3,2,386,0.07,803,642,360,0.41
Cascade,Orchard,2019,81,2,1234,18.86,1819,3424,360,0.13
Cascade,Seed,2019,348,2,8800,0.38,268,482,360,0.74
Cascade,Vegetable,2019,81,2,780,16.6,5671,4066,360,0.3
Ellensburg Wat,Cereal Grain,2019,360,2,180,2.84,75,193,360,0.74
Ellensburg Wat,Hay/Silage,2019,7097,2,193,4.65,128,278,360,0.51
Ellensburg Wat,Seed,2019,184,2,8800,0.38,268,482,360,0.74
Ellensburg Wat,Vegetable,2019,394,2,780,16.6,5671,4066,360,0.3
Ellensburg Wat,Vineyard,2019,2,1,777,5.31,2354,3103,360,0.13
FGP,Cereal Grain,2019,155,2,180,2.84,75,193,360,0.74
Fowler Ditch,Hay/Silage,2019,27,2,193,4.65,128,278,360,0.51
Fowler Ditch,Herb,2019,712,2,386,0.07,803,642,360,0.41
Fowler Ditch,Vineyard,2019,16,2.105,777,5.31,2354,3103,360,0.13
Irrigated area outside irrigation districts,Berry,2019,193,2,1600,3.86,5778,8132,360,0.25
Irrigated area outside irrigation districts,Cereal Grain,2019,7671,2,180,2.84,75,193,360,0.74
Irrigated area outside irrigation districts,Hay/Silage,2019,10353,2,193,4.65,128,278,360,0.51
Irrigated area outside irrigation districts,Herb,2019,3833,2,386,0.07,803,642,360,0.41
Irrigated area outside irrigation districts,Orchard,2019,10225,2,1234,18.86,1819,3424,360,0.13
Irrigated area outside irrigation districts,Seed,2019,19,2,8800,0.38,268,482,360,0.74
Irrigated area outside irrigation districts,Vegetable,2019,4807,2,780,16.6,5671,4066,360,0.3
Irrigated area outside irrigation districts,Vineyard,2019,5237,1,777,5.31,2354,3103,360,0.13
KID,Berry,2019,2,1.604,1600,3.86,5778,8132,360,0.25
KID,Cereal Grain,2019,384,2,180,2.84,75,193,360,0.74
KID,Hay/Silage,2019,1233,2,193,4.65,128,278,360,0.51
KID,Herb,2019,255,2,386,0.07,803,642,360,0.41
KID,Orchard,2019,2073,2,1234,18.86,1819,3424,360,0.13
KID,Vegetable,2019,1895,2,780,16.6,5671,4066,360,0.3
KID,Vineyard,2019,4881,1,777,5.31,2354,3103,360,0.13
KRD,Berry,2019,1,2,1600,3.86,5778,8132,360,0.25
KRD,Cereal Grain,2019,788,2,180,2.84,75,193,360,0.74
KRD,Hay/Silage,2019,26160,2,193,4.65,128,278,360,0.51
KRD,Herb,2019,6,2,386,0.07,803,642,360,0.41
KRD,Oilseed,2019,150,2.726,320,0.98,535.5,562,360,0.74
KRD,Orchard,2019,1646,2,1234,18.86,1819,3424,360,0.13
KRD,Seed,2019,422,2,8800,0.38,268,482,360,0.74
KRD,Vegetable,2019,176,2,780,16.6,5671,4066,360,0.3
KRD,Vineyard,2019,14,1,777,5.31,2354,3103,360,0.13
Moxee-Selah,Hay/Silage,2019,195,2,193,4.65,128,278,360,0.51
Moxee-Selah,Herb,2019,3319,2,386,0.07,803,642,360,0.41
Moxee-Selah,Orchard,2019,154,2,1234,18.86,1819,3424,360,0.13
Moxee-Selah,Vegetable,2019,6,2,780,16.6,5671,4066,360,0.3
Moxee-Selah,Vineyard,2019,5,1.417,777,5.31,2354,3103,360,0.13
Naches-Selah,Berry,2019,26,2,1600,3.86,5778,8132,360,0.25
Naches-Selah,Hay/Silage,2019,605,2,193,4.65,128,278,360,0.51
Naches-Selah,Orchard,2019,4491,2,1234,18.86,1819,3424,360,0.13
Naches-Selah,Vineyard,2019,13,1,777,5.31,2354,3103,360,0.13
Not In I.D.,Berry,2019,1,2.677,1600,3.86,5778,8132,360,0.25
Not In I.D.,Cereal Grain,2019,71,2,180,2.84,75,193,360,0.74
Not In I.D.,Hay/Silage,2019,1197,2,193,4.65,128,278,360,0.51
Not In I.D.,Herb,2019,410,2,386,0.07,803,642,360,0.41
Not In I.D.,Orchard,2019,2697,2,1234,18.86,1819,3424,360,0.13
Not In I.D.,Vegetable,2019,14,2,780,16.6,5671,4066,360,0.3
Not In I.D.,Vineyard,2019,3,1,777,5.31,2354,3103,360,0.13
Olsen,Hay/Silage,2019,410,2,193,4.65,128,278,360,0.51
Packwood,Hay/Silage,2019,399,2,193,4.65,128,278,360,0.51
Roza,Berry,2019,1257,2,1600,3.86,5778,8132,360,0.25
Roza,Cereal Grain,2019,5667,2,180,2.84,75,193,360,0.74
Roza,Hay/Silage,2019,4068,2,193,4.65,128,278,360,0.51
Roza,Herb,2019,8090,2,386,0.07,803,642,360,0.41
Roza,Orchard,2019,28428,2,1234,18.86,1819,3424,360,0.13
Roza,Seed,2019,25,2,8800,0.38,268,482,360,0.74
Roza,Vegetable,2019,391,2,780,16.6,5671,4066,360,0.3
Roza,Vineyard,2019,16762,1,777,5.31,2354,3103,360,0.13
SVID,Berry,2019,10,2,1600,3.86,5778,8132,360,0.25
SVID,Cereal Grain,2019,14214,2,180,2.84,75,193,360,0.74
SVID,Hay/Silage,2019,10187,2,193,4.65,128,278,360,0.51
SVID,Herb,2019,8689,2,386,0.07,803,642,360,0.41
SVID,Oilseed,2019,3,2.5,320,0.98,535.5,562,360,0.74
SVID,Orchard,2019,7386,2,1234,18.86,1819,3424,360,0.13
SVID,Seed,2019,43,2,8800,0.38,268,482,360,0.74
SVID,Vegetable,2019,1176,2,780,16.6,5671,4066,360,0.3
SVID,Vineyard,2019,9116,1,777,5.31,2354,3103,360,0.13
Terrace Heights,Hay/Silage,2019,20,2,193,4.65,128,278,360,0.51
Terrace Heights,Orchard,2019,32,2,1234,18.86,1819,3424,360,0.13
Terrace Heights,Vineyard,2019,11,1,777,5.31,2354,3103,360,0.13
Throp Mill,Hay/Silage,2019,66,2,193,4.65,128,278,360,0.51
Union Gap,Hay/Silage,2019,43,2,193,4.65,128,278,360,0.51
Union Gap,Orchard,2019,1762,2,1234,18.86,1819,3424,360,0.13
Union Gap,Vineyard,2019,60,1,777,5.31,2354,3103,360,0.13
Wenas,Hay/Silage,2019,857,2,193,4.65,128,278,360,0.51
Wenas,Herb,2019,91,2,386,0.07,803,642,360,0.41
Wenas,Seed,2019,1,1.965,8800,0.38,268,482,360,0.74
West Side,Cereal Grain,2019,183,2,180,2.84,75,193,360,0.74
West Side,Hay/Silage,2019,3357,2,193,4.65,128,278,360,0.51
Yakima-Tieton,Berry,2019,13,2,1600,3.86,5778,8132,360,0.25
Yakima-Tieton,Hay/Silage,2019,1677,2,193,4.65,128,278,360,0.51
Yakima-Tieton,Herb,2019,1,2,386,0.07,803,642,360,0.41
Yakima-Tieton,Orchard,2019,15328,2,1234,18.86,1819,3424,360,0.13
Yakima-Tieton,Seed,2019,8,2,8800,0.38,268,482,360,0.74
Yakima-Tieton,Vegetable,2019,14,2,780,16.6,5671,4066,360,0.3
Yakima-Tieton,Vineyard,2019,70,1,777,5.31,2354,3103,360,0.13
Yakima-Wapato,Berry,2019,26,2,1600,3.86,5778,8132,360,0.25
Yakima-Wapato,Cereal Grain,2019,30573,2,180,2.84,75,193,360,0.74
Yakima-Wapato,Hay/Silage,2019,17426,2,193,4.65,128,278,360,0.51
Yakima-Wapato,Herb,2019,24865,2,386,0.07,803,642,360,0.41
Yakima-Wapato,Oilseed,2019,1082,2.5,320,0.98,535.5,562,360,0.74
Yakima-Wapato,Orchard,2019,11144,2,1234,18.86,1819,3424,360,0.13
Yakima-Wapato,Seed,2019,675,2,8800,0.38,268,482,360,0.74
Yakima-Wapato,Vegetable,2019,3496,2,780,16.6,5671,4066,360,0.3
Yakima-Wapato,Vineyard,2019,2369,1,777,5.31,2354,3103,360,0.13
Ahtanum,Berry,2018,3,2,1467,3.99,5670,7980,358,0.25
Ahtanum,Cereal Grain,2018,3,2,173,3.05,74,189,358,0.74
Ahtanum,Hay/Silage,2018,1421,2,186,4.76,126,273,358,0.51
Ahtanum,Herb,2018,36,2,340,0.07,788,630,358,0.41
Ahtanum,Orchard,2018,167,3,1194,17.27,1785,3360,358,0.13
Buena,Cereal Grain,2018,109,2,173,3.05,74,189,358,0.74
Buena,Hay/Silage,2018,62,2,186,4.76,126,273,358,0.51
Buena,Herb,2018,61,2,340,0.07,788,630,358,0.41
Buena,Orchard,2018,40,3,1194,17.27,1785,3360,358,0.13
Buena,Vegetable,2018,2,1.713,760,16.31,5565,3990,358,0.3
Bull Ditch,Cereal Grain,2018,26,2.474,173,3.05,74,189,358,0.74
Bull Ditch,Hay/Silage,2018,818,2,186,4.76,126,273,358,0.51
Cascade,Berry,2018,1,1.699,1467,3.99,5670,7980,358,0.25
Cascade,Cereal Grain,2018,328,2,173,3.05,74,189,358,0.74
Cascade,Hay/Silage,2018,6109,2,186,4.76,126,273,358,0.51
Cascade,Herb,2018,3,2,340,0.07,788,630,358,0.41
Cascade,Orchard,2018,81,3,1194,17.27,1785,3360,358,0.13
Cascade,Seed,2018,348,2.5,8600,0.4,263,473,358,0.74
Cascade,Vegetable,2018,81,2,760,16.31,5565,3990,358,0.3
Ellensburg Wat,Cereal Grain,2018,398,2,173,3.05,74,189,358,0.74
Ellensburg Wat,Hay/Silage,2018,7097,2,186,4.76,126,273,358,0.51
Ellensburg Wat,Seed,2018,184,2.5,8600,0.4,263,473,358,0.74
Ellensburg Wat,Vegetable,2018,355,2,760,16.31,5565,3990,358,0.3
Ellensburg Wat,Vineyard,2018,2,2,734,6.32,2310,3045,358,0.13
FGP,Cereal Grain,2018,155,2,173,3.05,74,189,358,0.74
Fowler Ditch,Hay/Silage,2018,27,2,186,4.76,126,273,358,0.51
Fowler Ditch,Herb,2018,712,2,340,0.07,788,630,358,0.41
Fowler Ditch,Vineyard,2018,16,2.215,734,6.32,2310,3045,358,0.13
Irrigated area outside irrigation districts,Berry,2018,193,2,1467,3.99,5670,7980,358,0.25
Irrigated area outside irrigation districts,Cereal Grain,2018,7243,2,173,3.05,74,189,358,0.74
Irrigated area outside irrigation districts,Hay/Silage,2018,10264,2,186,4.76,126,273,358,0.51
Irrigated area outside irrigation districts,Herb,2018,4340,2,340,0.07,788,630,358,0.41
Irrigated area outside irrigation districts,Oilseed,2018,13,2.459,340,0.9,525.5,551.5,358,0.74
Irrigated area outside irrigation districts,Orchard,2018,10257,3,1194,17.27,1785,3360,358,0.13
Irrigated area outside irrigation districts,Seed,2018,60,2.5,8600,0.4,263,473,358,0.74
Irrigated area outside irrigation districts,Vegetable,2018,4807,2,760,16.31,5565,3990,358,0.3
Irrigated area outside irrigation districts,Vineyard,2018,5213,2,734,6.32,2310,3045,358,0.13
KID,Berry,2018,2,2.037,1467,3.99,5670,7980,358,0.25
KID,Cereal Grain,2018,384,2,173,3.05,74,189,358,0.74
KID,Hay/Silage,2018,1234,2,186,4.76,126,273,358,0.51
KID,Herb,2018,255,2,340,0.07,788,630,358,0.41
KID,Orchard,2018,2686,3,1194,17.27,1785,3360,358,0.13
KID,Vegetable,2018,2048,2,760,16.31,5565,3990,358,0.3
KID,Vineyard,2018,4872,2,734,6.32,2310,3045,358,0.13
KRD,Berry,2018,1,2,1467,3.99,5670,7980,358,0.25
KRD,Cereal Grain,2018,788,2,173,3.05,74,189,358,0.74
